Geo_FIPS,Geo_TRACT,occ_hu,hu_size1,hu_size2,hu_size3,hu_size4,hu_size5,hu_size6,hu_size7up,avg_hh_size
60750154003,15400,753,361,264,84,8,20,16,0,1.85
60750154004,15400,507,232,148,72,55,0,0,0,1.91
60750154005,15400,576,172,181,117,54,52,0,0,2.43
60750155001,15500,1174,842,280,52,0,0,0,0,1.38
60750155002,15500,823,430,330,63,0,0,0,0,1.58
60750155003,15500,269,125,64,19,61,0,0,0,2.15
60750156001,15600,298,89,94,85,0,30,0,0,2.36
60750156002,15600,677,175,200,127,110,58,7,0,2.73
60750156003,15600,508,222,217,41,14,14,0,0,1.85
60750157001,15700,594,311,193,61,29,0,0,0,1.69
60750157002,15700,798,239,337,73,71,78,0,0,2.42
60750157003,15700,813,241,289,171,83,29,0,0,2.41
60750157004,15700,429,86,182,37,36,60,28,0,2.97
60750158011,15801,208,79,36,78,15,0,0,0,2.25
60750158012,15801,899,347,326,107,119,0,0,0,2.19
60750158013,15801,633,217,283,67,44,0,22,0,2.09
60750158021,15802,842,440,219,37,141,0,0,5,1.96
60750158022,15802,788,276,301,114,77,20,0,0,2.16
60750159001,15900,1108,386,414,239,69,0,0,0,2.12
60750159002,15900,1123,408,426,187,74,0,28,0,2.13
60750160001,16000,1687,996,627,26,36,0,2,0,1.52
60750161001,16100,351,108,100,105,38,0,0,0,2.49
60750161002,16100,843,597,119,69,58,0,0,0,1.6
60750161003,16100,540,235,200,26,63,16,0,0,2.09
60750161004,16100,993,444,392,63,61,0,33,0,1.99
60750162001,16200,675,437,165,59,14,0,0,0,1.6
60750162002,16200,650,340,262,8,14,26,0,0,1.78
60750162003,16200,514,199,222,68,25,0,0,0,1.97
60750163001,16300,278,120,88,53,17,0,0,0,1.89
60750163002,16300,594,217,220,87,38,32,0,0,2.14
60750163003,16300,1168,357,483,123,158,47,0,0,2.31
60750164001,16400,971,371,416,111,41,5,17,10,2.06
60750164002,16400,798,291,220,154,129,4,0,0,2.28
60750165001,16500,671,156,298,143,34,0,40,0,2.51
60750165002,16500,439,161,197,67,14,0,0,0,1.93
60750165003,16500,641,252,246,95,25,23,0,0,2
60750165004,16500,474,144,177,81,72,0,0,0,2.16
60750166001,16600,882,291,378,128,72,13,0,0,2.13
60750166002,16600,478,188,183,11,41,55,0,0,2.19
60750166003,16600,652,169,310,91,29,0,53,0,2.54
60750166004,16600,427,153,162,19,49,0,44,0,2.43
60750167001,16700,860,275,364,125,58,38,0,0,2.24
60750167002,16700,280,58,132,10,80,0,0,0,2.52
60750167003,16700,543,247,150,67,79,0,0,0,2.06
60750167004,16700,690,225,277,159,29,0,0,0,2.2
60750168011,16801,691,182,248,116,119,26,0,0,2.46
60750168012,16801,612,230,276,60,30,0,16,0,1.98
60750168013,16801,647,332,234,39,0,37,5,0,1.9
60750168021,16802,738,435,253,29,21,0,0,0,1.52
60750168022,16802,687,284,264,54,85,0,0,0,1.95
60750168023,16802,629,383,163,60,23,0,0,0,1.66
60750169001,16900,1002,443,410,89,32,8,20,0,1.92
60750169002,16900,655,265,232,113,31,14,0,0,2.01
60750170001,17000,404,60,266,59,19,0,0,0,2.13
60750170002,17000,1417,576,625,92,111,13,0,0,1.88
60750170003,17000,362,79,188,92,3,0,0,0,2.11
60750171011,17101,644,190,229,84,117,0,16,8,2.49
60750171012,17101,563,131,262,89,67,14,0,0,2.28
60750171013,17101,525,214,181,52,52,19,7,0,2.13
60750171021,17102,662,249,215,125,53,20,0,0,2.19
60750171022,17102,299,29,98,60,78,19,0,15,3.31
60750171023,17102,718,155,350,119,88,6,0,0,2.27
60750176011,17601,0,0,0,0,0,0,0,0,
60750176012,17601,1507,1192,212,103,0,0,0,0,1.28
60750176013,17601,2040,998,483,496,51,12,0,0,1.91
60750176014,17601,1312,817,276,96,123,0,0,0,1.61
60750176015,17601,1060,610,153,135,0,106,56,0,2.15
60750177001,17700,150,60,79,5,6,0,0,0,1.78
60750177002,17700,576,157,178,122,32,43,38,6,2.85
60750178011,17801,890,615,244,31,0,0,0,0,1.35
60750178012,17801,1563,749,633,145,36,0,0,0,1.72
60750178021,17802,1782,692,681,184,174,33,18,0,2.14
60750178022,17802,980,339,465,72,59,45,0,0,2.16
60750179021,17902,606,105,172,175,97,42,8,7,2.97
60750180001,18000,913,420,379,61,46,0,0,7,1.79
60750180002,18000,493,201,178,78,36,0,0,0,1.93
60750201001,20100,866,372,407,87,0,0,0,0,1.76
60750201002,20100,680,359,222,99,0,0,0,0,1.74
60750201003,20100,702,345,178,142,0,37,0,0,2.08
60750201004,20100,1032,577,235,75,80,65,0,0,1.93
60750202001,20200,604,305,164,59,76,0,0,0,1.87
60750202002,20200,1138,340,584,165,0,49,0,0,2.08
60750202003,20200,1395,687,447,220,41,0,0,0,1.84
60750203001,20300,816,332,398,77,9,0,0,0,1.73
60750203002,20300,331,96,154,40,39,2,0,0,2.24
60750203003,20300,673,320,218,62,73,0,0,0,2.04
60750204011,20401,539,205,234,44,56,0,0,0,1.99
60750204012,20401,356,118,140,49,26,9,14,0,2.27
60750204013,20401,643,245,274,73,51,0,0,0,2.02
60750204021,20402,1363,726,483,41,113,0,0,0,1.7
60750204022,20402,1106,450,395,112,140,9,0,0,2.03
60750205001,20500,452,162,202,46,5,30,7,0,2.06
60750205002,20500,444,157,197,60,26,0,4,0,2
60750205003,20500,504,95,257,78,24,50,0,0,2.39
60750206001,20600,1114,597,431,69,14,3,0,0,1.58
60750206002,20600,409,96,225,61,27,0,0,0,2.16
60750206003,20600,436,145,200,76,15,0,0,0,1.94
60750206004,20600,773,351,215,111,25,51,20,0,2.19
60750207001,20700,1133,429,509,138,57,0,0,0,1.94
60750207002,20700,903,437,339,33,94,0,0,0,1.85
60750207003,20700,370,67,175,82,46,0,0,0,2.36
60750208001,20800,518,221,180,53,44,20,0,0,2.11
60750208002,20800,690,183,198,202,79,16,11,1,2.53
60750208003,20800,685,418,162,36,69,0,0,0,1.7
60750208004,20800,873,351,204,139,59,109,11,0,2.62
60750209001,20900,783,240,239,139,107,46,12,0,2.59
60750209002,20900,292,94,154,0,17,8,0,19,2.61
60750209003,20900,380,81,251,11,37,0,0,0,2.07
60750209004,20900,427,158,156,73,40,0,0,0,2.19
60750210001,21000,460,122,212,28,77,21,0,0,2.26
60750210002,21000,476,117,219,94,18,20,0,8,2.4
60750210003,21000,704,330,279,73,22,0,0,0,1.7
60750210004,21000,438,179,163,52,0,44,0,0,2.13
60750211001,21100,567,164,290,29,63,21,0,0,2.16
60750211002,21100,380,165,112,67,32,0,4,0,2.07
60750211003,21100,526,167,194,112,43,10,0,0,2.22
60750211004,21100,392,124,167,36,56,0,9,0,2.3
60750212001,21200,430,142,207,33,43,5,0,0,2.07
60750212002,21200,617,151,242,127,69,28,0,0,2.4
60750212003,21200,364,155,130,46,21,12,0,0,1.96
60750213001,21300,483,156,258,33,16,5,15,0,1.99
60750213002,21300,730,230,262,92,146,0,0,0,2.23
60750214001,21400,369,139,141,60,29,0,0,0,1.95
60750214002,21400,725,245,237,105,138,0,0,0,2.28
60750214003,21400,587,150,227,139,44,16,0,11,2.47
60750215001,21500,482,176,148,35,113,10,0,0,2.38
60750215002,21500,686,204,238,154,79,10,1,0,2.33
60750215003,21500,406,126,172,63,45,0,0,0,2.12
60750215004,21500,508,295,150,15,32,0,0,16,1.84
60750215005,21500,434,29,281,74,50,0,0,0,2.44
60750216001,21600,769,258,256,117,138,0,0,0,2.28
60750216002,21600,1332,607,557,122,46,0,0,0,1.79
60750217001,21700,574,248,194,63,38,20,11,0,2.06
60750217002,21700,513,76,175,175,73,14,0,0,2.87
60750217003,21700,727,207,189,131,176,17,0,7,2.62
60750218001,21800,636,238,190,141,60,7,0,0,2.18
60750218002,21800,457,167,131,69,79,11,0,0,2.25
60750218003,21800,320,92,187,23,18,0,0,0,1.9
60750218004,21800,416,122,151,51,80,6,6,0,2.49
60750226001,22600,638,172,277,129,60,0,0,0,2.18
60750226002,22600,898,229,492,127,44,0,6,0,2.03
60750227021,22702,507,169,218,78,29,13,0,0,2.07
60750227022,22702,549,163,208,107,56,15,0,0,2.25
60750227041,22704,600,240,222,83,30,25,0,0,2.03
60750227042,22704,938,237,413,166,83,39,0,0,2.29
60750228011,22801,524,131,164,86,114,21,8,0,2.73
60750228012,22801,715,216,164,188,69,46,21,11,2.62
60750228013,22801,663,55,179,238,43,51,35,62,3.56
60750228021,22802,283,19,163,58,34,9,0,0,2.49
60750228022,22802,404,68,189,46,29,61,0,11,2.95
60750228031,22803,786,280,149,177,69,40,34,37,3.07
60750228032,22803,406,115,113,66,76,0,0,36,3.16
60750228033,22803,348,42,76,111,17,20,27,55,4.23
60750229011,22901,492,83,164,125,79,10,14,17,2.92
60750229012,22901,574,106,139,63,163,64,8,31,3.41
60750229013,22901,447,85,80,104,67,111,0,0,3.23
60750229021,22902,419,74,151,65,103,26,0,0,2.94
60750229022,22902,363,63,104,98,49,35,0,14,3.28
60750229031,22903,542,84,174,113,54,85,0,32,3.42
60750229032,22903,251,45,97,87,11,11,0,0,2.55
60750229033,22903,280,64,149,19,13,12,23,0,2.67
60750230011,23001,530,51,100,191,50,35,56,47,4.09
60750230012,23001,350,47,78,98,42,0,22,63,3.81
60750230013,23001,501,93,73,111,111,39,22,52,3.71
60750230031,23003,837,116,229,222,116,65,22,67,3.44
60750230032,23003,388,48,155,53,48,55,29,0,3.09
60750231021,23102,1162,413,291,187,150,65,8,48,2.8
60750231022,23102,395,152,66,25,53,84,15,0,3.27
60750231031,23103,270,81,72,58,59,0,0,0,3.11
60750231032,23103,684,142,207,167,91,62,15,0,3
60750232001,23200,329,18,142,52,46,0,38,33,3.27
60750232002,23200,444,118,146,7,105,21,13,34,3.26
60750232003,23200,436,82,122,87,110,16,0,19,3.2
60750233001,23300,1209,284,376,160,174,95,82,38,3.09
60750234001,23400,608,146,105,94,194,33,2,34,3.3
60750234002,23400,395,17,148,50,20,88,40,32,4.18
60750251001,25100,705,154,240,116,175,20,0,0,2.57
60750251002,25100,311,111,102,44,27,20,7,0,2.49
60750251003,25100,289,53,93,84,0,59,0,0,2.91
60750252001,25200,466,46,243,32,47,46,37,15,3.25
60750252002,25200,605,140,261,108,36,60,0,0,2.49
60750252003,25200,531,194,208,67,62,0,0,0,2.06
60750252004,25200,418,67,115,153,69,14,0,0,2.69
60750253001,25300,504,73,244,95,75,8,9,0,2.56
60750253002,25300,383,117,133,46,78,9,0,0,2.35
60750253003,25300,291,26,86,62,105,12,0,0,3.02
60750253004,25300,668,271,277,93,27,0,0,0,1.93
60750254011,25401,562,162,197,124,69,10,0,0,2.34
60750254012,25401,432,120,138,93,57,24,0,0,2.43
60750254013,25401,445,36,155,84,137,9,22,2,3.14
60750254021,25402,405,152,82,74,58,14,6,19,2.74
60750254022,25402,321,36,162,52,55,8,8,0,2.81
60750254023,25402,427,83,192,20,43,14,16,59,3.3
60750254031,25403,704,108,204,264,37,62,20,9,2.93
60750254032,25403,729,105,172,256,57,50,53,36,3.7
60750255001,25500,508,14,184,95,180,0,18,17,3.46
60750255002,25500,327,40,130,18,85,12,0,42,3.58
