Description,Incident #,Location,Agency,Date,,
WEAPONS,210910813,SUNSET AVE/SUNSET VIEW PL,San Jose Police,4/1/2021 23:47,,
ASSAULT,210910386,2400 BLK SENTER RD,San Jose Police,4/1/2021 23:35,,
ASSAULT,210911027,15 BLK OLD TULLY RD,San Jose Police,4/1/2021 21:51,,
AUTO THEFT,210910989,1400 BLK LEEWARD DR,San Jose Police,4/1/2021 21:16,,
WEAPONS,210910827,S 1ST ST / SB 280 FROM 1ST RP,San Jose Police,4/1/2021 21:14,,
ROBBERY,210910930,1900 BLK TULLY RD,San Jose Police,4/1/2021 20:15,,
PETTY THEFT,210910885,PHELAN AV / COURTNEY AV,San Jose Police,4/1/2021 19:26,,
VANDALISM,210910848,1000 BLK MCLAUGHLIN AV,San Jose Police,4/1/2021 18:43,,
NARCOTICS,210910806,QUIMBY RD / RIGOLETTO DR,San Jose Police,4/1/2021 18:10,,
NARCOTICS,210910806,QUIMBY RD / RIGOLETTO DR,San Jose Police,4/1/2021 18:10,,
NARCOTICS,210910778,WOODBOROUGH DR / S 21ST ST,San Jose Police,4/1/2021 17:44,,
AUTO THEFT,210910746,700 BLK E WILLIAM ST,San Jose Police,4/1/2021 17:22,,
FORGERY/FRAUD,210919505,3400 BLK MT ST HELENA DR,San Jose Police,4/1/2021 16:45,,
NARCOTICS,210910652,3100 BLK COLDWATER DR,San Jose Police,4/1/2021 16:01,,
VANDALISM,210910582,700 BLK STORY RD,San Jose Police,4/1/2021 14:40,,
NARCOTICS,210910526,WAVERLY AV / S KING RD,San Jose Police,4/1/2021 14:14,,
FORGERY/FRAUD,210913220,2800 BLK MCLAUGHLIN AV,San Jose Police,4/1/2021 14:08,,
AGG ASSAULT,210910486,1100 BLK S 2ND ST,San Jose Police,4/1/2021 13:30,,
AUTO THEFT,210910395,200 BLK PACKING PL,San Jose Police,4/1/2021 12:53,,
CREDIT CARD,210913211,2600 BLK OTHELLO AV,San Jose Police,4/1/2021 12:37,,
PETTY THEFT,210910370,POMONA AV/ BARNARD AV,San Jose Police,4/1/2021 10:54,,
BURGLARY,210910371,800 BLK E WILLIAM ST,San Jose Police,4/1/2021 10:50,,
GRAND THEFT,210913212,15 BLK E REED ST,San Jose Police,4/1/2021 10:41,,
AGG ASSAULT,210910328,1500 BLK STORY RD,San Jose Police,4/1/2021 9:59,,
BURGLARY,210910217,1600 BLK ALUM ROCK AV,San Jose Police,4/1/2021 9:58,,
NARCOTICS,210910260,KAMMERER AV / SINCLAIR DR,San Jose Police,4/1/2021 9:07,,
AUTO THEFT,210910238,1400 BLK PURITANI WY,San Jose Police,4/1/2021 8:29,,
AUTO THEFT,210910223,1300 BLK SENTER RD,San Jose Police,4/1/2021 8:12,,
AUTO THEFT,210910211,1100 BLK WINSLOW DR,San Jose Police,4/1/2021 7:59,,
AUTO THEFT,200910211,1100 BLK WINSLOW DR,San Jose Police,4/1/2021 7:59,,
ASSAULT,210910185,3200 BLK EVERDALE DR,San Jose Police,4/1/2021 7:34,,
VANDALISM,200910180,1600 BLK SENTER RD,San Jose Police,4/1/2021 7:22,,
WEAPONS,210910130,SENTER RD/ TULLY RD,San Jose Police,4/1/2021 4:53,,
NARCOTICS,210910069,SB 101 TO TULLY RP / TULLY RD,San Jose Police,4/1/2021 3:57,,
NARCOTICS,210901119,HURAN DR / TULLY RD,San Jose Police,4/1/2021 3:53,,
NARCOTICS,210910097,1600 BLK CHABOT WY,San Jose Police,4/1/2021 3:29,,
NARCOTICS,210901125,MARTHA ST / S 3RD ST,San Jose Police,4/1/2021 1:11,,
DRUNK PUBLIC,210910015,TULLY RD / S KING RD,San Jose Police,4/1/2021 0:15,,
ASSAULT,210901029,RIGOLETTO DR / S KING RD,San Jose Police,3/31/2021 23:58,,
FORGERY/FRAUD,210903223,2700 BLK WHISPERING HILLS CL,San Jose Police,3/31/2021 20:41,,
CREDIT CARD,210903222,600 BLK BANFF ST,San Jose Police,3/31/2021 20:05,,
NARCOTICS,210900870,TULLY RD / COCONUT DR,San Jose Police,3/31/2021 18:30,,
AGG ASSAULT,210900525,3500 BLK COLUMBINE DR,San Jose Police,3/31/2021 18:07,,
FORGERY/FRAUD,210903205,1600 BLK BOWLING GREEN DR,San Jose Police,3/31/2021 17:55,,
DUI,210900742,OCALA AV / BERMUDA WY,San Jose Police,3/31/2021 17:26,,
ASSAULT,210900386,15 BLK S 14TH ST,San Jose Police,3/31/2021 17:00,,
NARCOTICS,210900707,CINDERELLA LN / MCCREERY AV,San Jose Police,3/31/2021 17:00,,
CREDIT CARD,210909505,ALUM ROCK AV / N SUNSET AV,San Jose Police,3/31/2021 16:11,,
ARSON,210900534,ROBERTS AV / VINTAGE WY,San Jose Police,3/31/2021 13:25,,
VANDALISM,210900495,1100 BLK S KING RD,San Jose Police,3/31/2021 12:41,,
BURGLARY,210900490,2100 BLK MONTEREY RD,San Jose Police,3/31/2021 12:39,,
BURGLARY,210900261,700 BLK S 3RD ST,San Jose Police,3/31/2021 9:17,,
LICENSE PLATE,210900245,1800 BLK E SAN ANTONIO ST,San Jose Police,3/31/2021 8:57,,
VANDALISM,210900103,1900 BLK ABORN RD,San Jose Police,3/31/2021 8:17,,
AUTO THEFT,210900178,OLD TULLY RD / MONTEREY RD,San Jose Police,3/31/2021 7:58,,
CREDIT CARD,210903217,2700 BLK EULALIE DR,San Jose Police,3/31/2021 7:32,,
NARCOTICS,210900167,PHELAN AV/SENTER RD,San Jose Police,3/31/2021 7:25,,
BURGLARY,210900158,1600 BLK TULLY RD,San Jose Police,3/31/2021 7:01,,
VANDALISM,210900132,1200 BLK STORY RD,San Jose Police,3/31/2021 5:56,,
BURGLARY,210900116,900 BLK STORY RD,San Jose Police,3/31/2021 5:24,,
NARCOTICS,210900074,EVERDALE DR / CASTLETON DR,San Jose Police,3/31/2021 5:12,,
BURGLARY,210900111,2300 BLK SENTER RD,San Jose Police,3/31/2021 4:55,,
NARCOTICS,210900067,LUCRETIA AV / TAJI DR,San Jose Police,3/31/2021 2:21,,
AUTO THEFT,210900018,1600 BLK HONEYSUCKLE DR,San Jose Police,3/31/2021 0:21,,
NARCOTICS,210891007,E ALMA AV / ALMA CT,San Jose Police,3/30/2021 23:50,,
NARCOTICS,210891040,MONTEREY RD / SAN JOSE AV,San Jose Police,3/30/2021 23:48,,
DRUNK PUBLIC,210890997,2400 BLK FONTAINE RD,San Jose Police,3/30/2021 22:37,,
NARCOTICS,210890992,600 BLK TULLY RD,San Jose Police,3/30/2021 22:24,,
AGG ASSAULT,210890821,1700 BLK STORY RD,San Jose Police,3/30/2021 21:56,,
AGG ASSAULT,210890957,100 BLK W REED ST,San Jose Police,3/30/2021 21:33,,
DUI,210890947,MIDFIELD AV/HAVANA WY,San Jose Police,3/30/2021 21:20,,
AUTO THEFT,210890869,1600 BLK STORY RD,San Jose Police,3/30/2021 19:40,,
NARCOTICS,210890866,OTHELLO AV / RIGOLETTO DR,San Jose Police,3/30/2021 19:38,,
WEAPONS,210890865,W ALMA AV / POMONA AV,San Jose Police,3/30/2021 19:38,,
VANDALISM,210893228,2200 BLK SENTER RD,San Jose Police,3/30/2021 19:36,,
NARCOTICS,210890799,2800 BLK SMITHERS DR,San Jose Police,3/30/2021 18:27,,
ARSON,210890526,1700 BLK STORY RD,San Jose Police,3/30/2021 17:44,,
VANDALISM,210890539,1600 BLK ALUM ROCK AV,San Jose Police,3/30/2021 17:00,,
VANDALISM,210890698,600 BLK MACREDES AV,San Jose Police,3/30/2021 16:42,,
BURGLARY,210890644,900 BLK FELIPE AV,San Jose Police,3/30/2021 16:40,,
VANDALISM,210893217,2600 BLK SAND POINT DR,San Jose Police,3/30/2021 16:28,,
VANDALISM,210890672,400 BLK S 6TH ST,San Jose Police,3/30/2021 16:13,,
NARCOTICS,210890654,700 BLK S 2ND ST,San Jose Police,3/30/2021 16:00,,
FORGERY/FRAUD,210893224,2700 BLK SUISUN AV,San Jose Police,3/30/2021 15:59,,
NARCOTICS,210890651,1900 BLK S 7TH ST,San Jose Police,3/30/2021 15:42,,
GRAND THEFT,210890647,1700 BLK S KING RD,San Jose Police,3/30/2021 15:37,,
ROBBERY,210890455,2100 BLK LANAI AV,San Jose Police,3/30/2021 15:06,,
AUTO THEFT,210890596,500 BLK TULLY RD,San Jose Police,3/30/2021 14:40,,
LICENSE PLATE,210890577,15 BLK S 19TH ST,San Jose Police,3/30/2021 14:21,,
CHECKS,210893221,1800 BLK SENTER RD,San Jose Police,3/30/2021 13:36,,
DISTURB PEACE,210899507,2600 BLK OTHELLO AV,San Jose Police,3/30/2021 13:25,,
LICENSE PLATE,210890512,1500 BLK FLANIGAN DR,San Jose Police,3/30/2021 13:24,,
AUTO THEFT,210890469,E SAN ANTONIO ST/S 33RD ST,San Jose Police,3/30/2021 12:42,,
ASSAULT,210890380,700 BLK S JACKSON AV,San Jose Police,3/30/2021 12:00,,
BURGLARY,210890381,2100 BLK MONTEREY RD,San Jose Police,3/30/2021 11:08,,
ASSAULT,210890345,1700 BLK OCALA AV,San Jose Police,3/30/2021 10:37,,
VANDALISM,210893204,2000 BLK LUCRETIA AV,San Jose Police,3/30/2021 9:19,,
PETTY THEFT,210890358,1200 BLK HOPKINS DR,San Jose Police,3/30/2021 9:00,,
AUTO THEFT,210890216,4100 BLK VOLTAIRE ST,San Jose Police,3/30/2021 8:44,,
AUTO THEFT,210899701,2600 BLK CORDE TERRA CL,San Jose Police,3/30/2021 8:25,,
AUTO THEFT,210890186,ALDRICH WY/ALVIN AV,San Jose Police,3/30/2021 8:15,,
AUTO THEFT,210890153,2300 BLK SENTER RD,San Jose Police,3/30/2021 7:25,,
AUTO THEFT,210890128,1500 BLK FORD AV,San Jose Police,3/30/2021 5:36,,
CREDIT CARD,210890100,SENTER RD / E ALMA AV,San Jose Police,3/30/2021 4:12,,
NARCOTICS,210890091,S 1ST ST / KEYES ST,San Jose Police,3/30/2021 3:40,,
WEAPONS,210880320,2200 BLK WILL WOOL DRIVE,San Jose Police,3/30/2021 2:30,,
NARCOTICS,210890057,CATHAY DR/NAPLES DR,San Jose Police,3/30/2021 2:10,,
VANDALISM,210890048,2100 BLK S WHITE RD,San Jose Police,3/30/2021 1:30,,
NARCOTICS,210890033,MIDFIELD AV / MIAMI DR,San Jose Police,3/30/2021 1:20,,
VANDALISM,210883244,LUCRETIA AV / SUMMERSIDE DR,San Jose Police,3/29/2021 22:42,,
PETTY THEFT,210880969,1700 BLK S KING RD,San Jose Police,3/29/2021 22:02,,
AUTO THEFT,210880879,S 7TH ST/LEO AV,San Jose Police,3/29/2021 21:25,,
WEAPONS,210880915,RUBY AVE / HOLDERMAN DR,San Jose Police,3/29/2021 20:28,,
BURGLARY,210880682,2300 BLK SENTER RD,San Jose Police,3/29/2021 18:38,,
VANDALISM,210883201,600 BLK S 9TH ST,San Jose Police,3/29/2021 18:27,,
VANDALISM,210880807,900 BLK S KING RD,San Jose Police,3/29/2021 18:09,,
PETTY THEFT,210880802,200 BLK S 11TH ST,San Jose Police,3/29/2021 18:04,,
WEAPONS,210880767,KEYES ST / SENTER RD,San Jose Police,3/29/2021 17:29,,
ASSAULT,210880756,1300 BLK E SAN ANTONIO ST,San Jose Police,3/29/2021 17:16,,
FORGERY/FRAUD,210883205,15 BLK S 16TH ST,San Jose Police,3/29/2021 16:34,,
PETTY THEFT,210880680,2900 BLK MIDHURST WY,San Jose Police,3/29/2021 15:56,,
LICENSE PLATE,210880669,500 BLK S 7TH ST,San Jose Police,3/29/2021 15:45,,
AUTO THEFT,210880570,2200 BLK EASTRIDGE LP,San Jose Police,3/29/2021 14:58,,
VANDALISM,210880599,1200 BLK STORY RD,San Jose Police,3/29/2021 14:26,,
BURGLARY,210880509,3600 BLK CLAYTON RD,San Jose Police,3/29/2021 14:23,,
CHECKS,210889504,2400 BLK ALVIN AV,San Jose Police,3/29/2021 14:12,,
PETTY THEFT,210883213,3500 BLK BOEGER LN,San Jose Police,3/29/2021 13:58,,
GRAND THEFT,210880483,700 BLK E SANTA CLARA ST,San Jose Police,3/29/2021 12:39,,
GRAND THEFT,210883224,3400 BLK CHEMIN DE RIVIERE,San Jose Police,3/29/2021 10:49,,
AUTO THEFT,210880364,1300 BLK LUCRETIA AV,San Jose Police,3/29/2021 10:37,,
INDECENT EXPOSURE,210880365,15 BLK S 11TH ST,San Jose Police,3/29/2021 10:37,,
AUTO THEFT,210880280,FLORIDA AV / MIAMI DR,San Jose Police,3/29/2021 9:32,,
NARCOTICS,210880256,E CAPITOL EX / CUNNINGHAM AV,San Jose Police,3/29/2021 9:01,,
NARCOTICS,210880256,E CAPITOL EX / CUNNINGHAM AV,San Jose Police,3/29/2021 9:01,,
NARCOTICS,210880145,SENTER RD / E ALMA AV,San Jose Police,3/29/2021 5:38,,
AGG ASSAULT,210889818,400 BLK BONITA AV,San Jose Police,3/29/2021 0:04,,
AGG ASSAULT,210889807,1100 BLK S 10TH ST,San Jose Police,3/29/2021 0:03,,
AGG ASSAULT,210889806,15 BLK S 19TH ST,San Jose Police,3/29/2021 0:03,,
AGG ASSAULT,210889803,2100 BLK CEYLON CT,San Jose Police,3/29/2021 0:03,,
VANDALISM,210870960,2300 BLK WARFIELD WY,San Jose Police,3/28/2021 22:00,,
GRAND THEFT,210870905,2100 BLK MONTEREY RD,San Jose Police,3/28/2021 21:20,,
DUI,210870888,15 BLK S 20TH ST,San Jose Police,3/28/2021 21:02,,
PETTY THEFT,210870883,1700 BLK STORY RD,San Jose Police,3/28/2021 20:57,,
NARCOTICS,210870815,LUCRETIA AV / TAJI DR,San Jose Police,3/28/2021 19:48,,
AGG ASSAULT,210870525,3000 BLK PEPPERMINT DR,San Jose Police,3/28/2021 18:37,,
AGG ASSAULT,210870672,1000 BLK STORY RD,San Jose Police,3/28/2021 17:13,,
AGG ASSAULT,210879849,2300 BLK LUCRETIA AV,San Jose Police,3/28/2021 15:44,,
AUTO THEFT,210870499,500 BLK E SANTA CLARA ST,San Jose Police,3/28/2021 15:12,,
NARCOTICS,210870488,2100 BLK MONTEREY RD,San Jose Police,3/28/2021 14:19,,
AUTO THEFT,210870357,2500 BLK BOREN DR,San Jose Police,3/28/2021 11:32,,
NARCOTICS,210870355,2100 BLK MONTEREY RD,San Jose Police,3/28/2021 11:31,,
WEAPONS,210870356,E SANTA CLARA ST/S 22ND ST,San Jose Police,3/28/2021 11:31,,
BURGLARY,210870306,900 BLK SUMMERSIDE DR,San Jose Police,3/28/2021 10:26,,
DISTURB PEACE,210870314,1300 BLK SENTER RD,San Jose Police,3/28/2021 9:30,,
BURGLARY,210870248,400 BLK SOUTH 4TH STREET,San Jose Police,3/28/2021 9:14,,
DUI,210870204,BESTOR ST/ S 6TH ST.,San Jose Police,3/28/2021 7:35,,
BURGLARY,210870203,2600 BLK SHERLOCK DR,San Jose Police,3/28/2021 7:31,,
BURGLARY,210870151,1200 BLK E SANTA CLARA ST,San Jose Police,3/28/2021 4:02,,
AGG ASSAULT,210870133,100 BLK AUSTIN CT,San Jose Police,3/28/2021 3:00,,
AGG ASSAULT,210879815,2500 BLK SEDLAK CT,San Jose Police,3/28/2021 2:07,,
ARSON,210880759,1000 BLK E SANTA CLARA ST,San Jose Police,3/28/2021 0:36,,
AGG ASSAULT,210879825,2000 BLK BAYHEAVEN DR,San Jose Police,3/28/2021 0:08,,
AGG ASSAULT,210879828,2200 BLK LYONS CT,San Jose Police,3/28/2021 0:08,,
AGG ASSAULT,210879812,1300 BLK VINE ST,San Jose Police,3/28/2021 0:07,,
AGG ASSAULT,210879817,2600 BLK VISTA VERDE DR,San Jose Police,3/28/2021 0:07,,
AGG ASSAULT,210879820,3600 BLK RUE MIRASSOU,San Jose Police,3/28/2021 0:07,,
AGG ASSAULT,210879819,400 BLK OAKLAND AV,San Jose Police,3/28/2021 0:07,,
AGG ASSAULT,210879800,2200 BLK BARLOW AV,San Jose Police,3/28/2021 0:06,,
AGG ASSAULT,210879806,2500 BLK S KING RD,San Jose Police,3/28/2021 0:06,,
NARCOTICS,210861169,15 BLK UNION ST,San Jose Police,3/27/2021 23:54,,
AGG ASSAULT,210861141,STORY RD / S JACKSON AV,San Jose Police,3/27/2021 23:20,,
VANDALISM,210863215,1200 BLK WHITTON AV,San Jose Police,3/27/2021 20:14,,
NARCOTICS,210860822,AMADOR DR / TALLAHASSEE DR,San Jose Police,3/27/2021 18:59,,
AGG ASSAULT,210869809,1100 BLK LYNN AV,San Jose Police,3/27/2021 18:56,,
NARCOTICS,210850720,E CAPITOL EX / OCALA AV,San Jose Police,3/27/2021 18:13,,
ROBBERY,210860781,800 BLK S 1ST ST,San Jose Police,3/27/2021 18:09,,
ASSAULT,210860774,S 10TH ST / E SAN CARLOS ST,San Jose Police,3/27/2021 18:04,,
NARCOTICS,210860726,ALUM ROCK AV / S KING RD,San Jose Police,3/27/2021 17:23,,
FORGERY/FRAUD,210863202,1800 BLK GRENADINE WY,San Jose Police,3/27/2021 15:14,,
GRAND THEFT,210860462,1700 BLK ALDER CREEK CT,San Jose Police,3/27/2021 12:49,,
AUTO THEFT,210860370,S 3RD ST / MARTHA ST,San Jose Police,3/27/2021 11:11,,
VANDALISM,210863222,ABORN RD / E CAPITOL EX,San Jose Police,3/27/2021 10:18,,
ROBBERY,210860290,2100 BLK MONTEREY RD,San Jose Police,3/27/2021 9:41,,
LICENSE PLATE,210860259,1100 BLK HERALD AV,San Jose Police,3/27/2021 8:15,,
NARCOTICS,210860240,SEVENTH ST/ TULLY RD,San Jose Police,3/27/2021 7:50,,
AUTO THEFT,210860236,2900 BLK FENWICK WY,San Jose Police,3/27/2021 7:39,,
NARCOTICS,210860055,N 30TH ST / FIVE WOUNDS LN,San Jose Police,3/27/2021 1:00,,
AGG ASSAULT,210859833,3100 BLK PEANUT BRITTLE DR,San Jose Police,3/26/2021 22:40,,
AGG ASSAULT,210859845,1800 BLK DAYTONA DR,San Jose Police,3/26/2021 22:14,,
ASSAULT,210850919,3500 BLK OAKLEAF DR,San Jose Police,3/26/2021 22:07,,
AGG ASSAULT,210859821,2000 BLK S KING RD,San Jose Police,3/26/2021 22:04,,
WEAPONS,210850859,ALUM ROCK AV/ KING RD,San Jose Police,3/26/2021 21:00,,
AGG ASSAULT,210859827,900 BLK S 6TH ST,San Jose Police,3/26/2021 20:40,,
ASSAULT,210850822,1500 BLK STORY RD,San Jose Police,3/26/2021 20:07,,
AGG ASSAULT,210859822,2700 BLK TANGLEWOOD DR,San Jose Police,3/26/2021 20:04,,
BURGLARY,210850807,100 BLK S 10TH ST,San Jose Police,3/26/2021 19:42,,
NARCOTICS,210850800,PHELAN AVE/SENTER RD,San Jose Police,3/26/2021 19:36,,
LICENSE PLATE,210850777,1600 BLK HONEYSUCKLE DR,San Jose Police,3/26/2021 19:07,,
VANDALISM,210850775,15 BLK S 11TH ST,San Jose Police,3/26/2021 19:06,,
AGG ASSAULT,210859801,900 BLK MILLS CORNER LN,San Jose Police,3/26/2021 17:21,,
ASSAULT,210850653,S KING RD / LAVONNE AV,San Jose Police,3/26/2021 17:07,,
DRUNK PUBLIC,210850637,600 BLK HERMES CT,San Jose Police,3/26/2021 16:51,,
PETTY THEFT,210853205,3100 BLK HERITAGE VALLEY DR,San Jose Police,3/26/2021 13:47,,
FORGERY/FRAUD,210859505,400 BLK S 4TH ST,San Jose Police,3/26/2021 13:07,,
NARCOTICS,210850388,2500 BLK FONTAINE RD,San Jose Police,3/26/2021 12:36,,
ASSAULT,210850333,1200 BLK STORY RD,San Jose Police,3/26/2021 11:47,,
VANDALISM,210850295,1900 BLK KAMMERER AV,San Jose Police,3/26/2021 11:40,,
FORGERY/FRAUD,210850321,FONTAINE RD / ALVIN AV,San Jose Police,3/26/2021 11:39,,
NARCOTICS,210840860,HERALD AV/REMO ST,San Jose Police,3/26/2021 11:23,,
AUTO THEFT,210850246,2000 BLK NOTTOWAY AV,San Jose Police,3/26/2021 9:39,,
AUTO THEFT,210850229,800 BLK S 6TH ST,San Jose Police,3/26/2021 9:29,,
BURGLARY,210850222,2600 BLK TOY LN,San Jose Police,3/26/2021 8:55,,
CHECKS,210850221,1600 BLK S 7TH ST,San Jose Police,3/26/2021 8:54,,
VANDALISM,210850192,2400 BLK GLEN EXETER WY,San Jose Police,3/26/2021 8:13,,
FORGERY/FRAUD,210853215,1700 BLK QUIMBY RD,San Jose Police,3/26/2021 7:36,,
AUTO THEFT,210850108,1800 BLK MARTELLO DR,San Jose Police,3/26/2021 4:07,,
VANDALISM,210850104,700 BLK S 10TH ST,San Jose Police,3/26/2021 3:46,,
BURGLARY,210841033,300 BLK S 24TH ST,San Jose Police,3/25/2021 23:27,,
AUTO THEFT,210841026,1900 BLK SENTER RD,San Jose Police,3/25/2021 23:17,,
VANDALISM,210840987,1800 BLK CUNNINGHAM AV,San Jose Police,3/25/2021 21:50,,
PETTY THEFT,210840958,700 BLK STORY RD,San Jose Police,3/25/2021 21:02,,
ROBBERY,210840914,3200 BLK S WHITE RD,San Jose Police,3/25/2021 19:53,,
CREDIT CARD,210843210,15 BLK CARNEGIE SQ,San Jose Police,3/25/2021 19:48,,
BURGLARY,210840696,2100 BLK S 10TH ST,San Jose Police,3/25/2021 16:32,,
FORGERY/FRAUD,210843217,1700 BLK SUNDOWN LN,San Jose Police,3/25/2021 16:25,,
GRAND THEFT,210843227,900 BLK BELLHURST AV,San Jose Police,3/25/2021 15:56,,
PETTY THEFT,210843220,600 BLK SONI CT,San Jose Police,3/25/2021 14:50,,
FORGERY/FRAUD,210849712,STORY RD / S KING RD,San Jose Police,3/25/2021 14:39,,
GRAND THEFT,210849506,2200 BLK EASTRIDGE LP,San Jose Police,3/25/2021 14:22,,
BURGLARY,210840543,2300 BLK S 10TH ST,San Jose Police,3/25/2021 14:00,,
NARCOTICS,210840343,1100 BLK STORY RD,San Jose Police,3/25/2021 13:38,,
NARCOTICS,210840488,STORY RD / SB 101 FROM STORY RP,San Jose Police,3/25/2021 13:07,,
GRAND THEFT,210840463,2200 BLK MCLAUGHLIN AV,San Jose Police,3/25/2021 12:43,,
NARCOTICS,210840456,STORY RD / SB 101 FROM STORY RP,San Jose Police,3/25/2021 12:41,,
VANDALISM,210840274,2500 BLK BOREN DR,San Jose Police,3/25/2021 9:31,,
PETTY THEFT,210840271,1600 BLK BURDETTE DR,San Jose Police,3/25/2021 9:28,,
AUTO THEFT,210840236,2000 BLK NEWTON AV,San Jose Police,3/25/2021 8:54,,
WEAPONS,210840226,1700 BLK MCLAUGHLIN AVE,San Jose Police,3/25/2021 8:45,,
VANDALISM,210840149,1700 BLK STORY RD,San Jose Police,3/25/2021 6:43,,
AUTO THEFT,210840142,2500 BLK FONTAINE RD,San Jose Police,3/25/2021 6:16,,
PETTY THEFT,210840134,1600 BLK SENTER RD,San Jose Police,3/25/2021 5:51,,
VANDALISM,210840132,1900 BLK SENTER RD,San Jose Police,3/25/2021 5:46,,
ASSAULT,210840069,600 BLK TULLY RD,San Jose Police,3/25/2021 4:02,,
PETTY THEFT,210843224,2200 BLK MCLAUGHLIN AV,San Jose Police,3/25/2021 1:28,,
WEAPONS,210831041,SENTER RD/FELDSPAR DR,San Jose Police,3/24/2021 23:04,,
NARCOTICS,210830997,1100 BLK ROBERTS AV,San Jose Police,3/24/2021 22:10,,
FORGERY/FRAUD,210833221,1400 BLK CRUCERO DR,San Jose Police,3/24/2021 21:41,,
FORGERY/FRAUD,210833215,800 BLK BAGHDAD PL,San Jose Police,3/24/2021 18:18,,
INDECENT EXPOSURE,210830561,300 BLK S 15TH ST,San Jose Police,3/24/2021 18:14,,
ASSAULT,210830589,2100 BLK TORYGLEN WY,San Jose Police,3/24/2021 18:00,,
LICENSE PLATE,210830776,800 BLK S 5TH ST,San Jose Police,3/24/2021 17:54,,
GRAND THEFT,210830730,15 BLK CASTLECREST DR,San Jose Police,3/24/2021 17:10,,
PETTY THEFT,210833212,15 BLK E SAN CARLOS ST,San Jose Police,3/24/2021 16:36,,
NARCOTICS,210830603,OSWEGO DR / TRIESTE CT,San Jose Police,3/24/2021 16:10,,
GRAND THEFT,210830547,3200 BLK S WHITE RD,San Jose Police,3/24/2021 15:39,,
CHECKS,210830618,1600 BLK S 7TH ST,San Jose Police,3/24/2021 15:19,,
ROBBERY,210830414,2100 BLK MONTEREY RD,San Jose Police,3/24/2021 11:13,,
VANDALISM,210830326,2600 BLK ALVIN AV,San Jose Police,3/24/2021 10:03,,
VANDALISM,210830275,1000 BLK MCLAUGHLIN AV,San Jose Police,3/24/2021 9:21,,
AUTO THEFT,210830234,2200 BLK TAMPA WY,San Jose Police,3/24/2021 8:36,,
GRAND THEFT,210830199,2300 BLK SENTER RD,San Jose Police,3/24/2021 8:00,,
AUTO THEFT,210830160,700 BLK STATE ST,San Jose Police,3/24/2021 7:20,,
GRAND THEFT,210830134,900 BLK STORY RD,San Jose Police,3/24/2021 5:48,,
AUTO THEFT,210830105,2100 BLK MCLAUGHLIN AV,San Jose Police,3/24/2021 4:40,,
BURGLARY,210830111,900 BLK STORY RD,San Jose Police,3/24/2021 4:34,,
NARCOTICS,210830026,ALDRICH WY / FONTAINE RD,San Jose Police,3/24/2021 3:45,,
AUTO THEFT,210830086,1000 BLK S 6TH ST,San Jose Police,3/24/2021 3:14,,
WEAPONS,210820853,MARTEN AV / MT PLEASANT RD,San Jose Police,3/24/2021 2:25,,
AGG ASSAULT,210839816,1300 BLK BAGELY WY,San Jose Police,3/24/2021 0:17,,
VANDALISM,210823230,1400 BLK CLEMENCE CT,San Jose Police,3/23/2021 23:25,,
GRAND THEFT,210820934,STORY RD / KNOX AV,San Jose Police,3/23/2021 22:39,,
AUTO THEFT,210820918,400 BLK S 7TH ST,San Jose Police,3/23/2021 22:16,,
AGG ASSAULT,210829834,1600 BLK CRUCERO DR,San Jose Police,3/23/2021 20:56,,
PETTY THEFT,210823234,500 BLK S 2ND ST,San Jose Police,3/23/2021 20:03,,
ASSAULT,210820790,2500 BLK FONTAINE RD,San Jose Police,3/23/2021 19:01,,
PETTY THEFT,210823241,500 BLK E ALMA AV,San Jose Police,3/23/2021 18:59,,
NARCOTICS,210820784,15 BLK OLD TULLY RD,San Jose Police,3/23/2021 18:55,,
VANDALISM,210823240,1800 BLK SENTER RD,San Jose Police,3/23/2021 18:49,,
FORGERY/FRAUD,210823233,1600 BLK MIAMI DR,San Jose Police,3/23/2021 18:00,,
AGG ASSAULT,210829870,1100 BLK SHORTRIDGE AV,San Jose Police,3/23/2021 17:55,,
AGG ASSAULT,210829857,2100 BLK TORYGLEN WY,San Jose Police,3/23/2021 17:55,,
AGG ASSAULT,210829880,1600 BLK CHRISTOPHER ST,San Jose Police,3/23/2021 17:53,,
AGG ASSAULT,210829879,1800 BLK JENEANE MARIE CL,San Jose Police,3/23/2021 17:53,,
DISTURB PEACE,210829706,1300 BLK FOXDALE LP,San Jose Police,3/23/2021 16:21,,
CREDIT CARD,210829515,3200 BLK ANDORA DR,San Jose Police,3/23/2021 15:53,,
VANDALISM,210823204,1800 BLK LUCRETIA AV,San Jose Police,3/23/2021 15:40,,
FORGERY/FRAUD,210829510,100 BLK S 33RD ST,San Jose Police,3/23/2021 13:45,,
AUTO THEFT,210820488,ORINDA DR/HILLSBOROUGH WY,San Jose Police,3/23/2021 13:19,,
CREDIT CARD,210829504,100 BLK S 21ST ST,San Jose Police,3/23/2021 12:32,,
BURGLARY,210820409,300 BLK S 3RD ST,San Jose Police,3/23/2021 12:17,,
AUTO THEFT,210820401,600 BLK WOOL CREEK DR,San Jose Police,3/23/2021 12:08,,
PETTY THEFT,210823227,15 BLK E REED ST,San Jose Police,3/23/2021 11:34,,
AUTO THEFT,210820367,1800 BLK E SAN ANTONIO ST,San Jose Police,3/23/2021 11:31,,
