Description,Incident #,Location,Agency,Date
ASSAULT-SIMPLE,GO 202165085,2500 BLK K ST,Bakersfield Police,4/7/2021 9:38
AGG ASSAULT-WEAPON,GO 202165085,2500 BLK K ST,Bakersfield Police,4/7/2021 9:38
FRAUD-BY WIRE,GO 2021802517,1400 BLK 19TH ST,Bakersfield Police,4/7/2021 8:07
THEFT-CATALYTIC CONVERTER,GO 202166156,1900 BLK 19TH ST,Bakersfield Police,4/7/2021 8:05
DRUG-PARAPHERNALIA POSSESSION,GO 202164999,500 BLK DOLORES ST,Bakersfield Police,4/7/2021 7:49
TRAFFIC-DUI ALCOHOL MISDEMEANR,GO 202164889,CALIFORNIA AV / N ST,Bakersfield Police,4/6/2021 22:39
VANDALISM-PRIVATE PROPERTY,GO 202164872,1300 BLK EYE ST,Bakersfield Police,4/6/2021 22:04
AUTO THEFT,GO 202164926,700 BLK K ST,Bakersfield Police,4/6/2021 19:00
THEFT-BICYCLE,GO 202164770,1200 BLK TRUXTUN AV,Bakersfield Police,4/6/2021 18:54
WEAPON-POSSESS WEAPON FELONY,GO 202164621,2900 BLK UNION AV,Bakersfield Police,4/6/2021 14:27
POSSIBLE ASSAULT,GO 202164593,1200 BLK UNION AV,Bakersfield Police,4/6/2021 14:15
THEFT-FROM UNLOCKED VEHICLE,GO 202164510,1900 BLK 17TH ST,Bakersfield Police,4/6/2021 10:00
THEFT-BICYCLE,GO 202164423,1400 BLK TRUXTUN AV,Bakersfield Police,4/6/2021 9:44
ASSAULT-SIMPLE,GO 202164351,1600 BLK 18TH ST,Bakersfield Police,4/6/2021 8:15
THEFT-FROM YARD,GO 202164290,1300 BLK 32ND ST,Bakersfield Police,4/5/2021 16:30
BURGLARY-FORCED-NON-RESIDENCE,GO 202164290,1300 BLK 32ND ST,Bakersfield Police,4/5/2021 16:30
AGG ASSAULT-WEAPON,GO 202163976,900 BLK 4TH ST,Bakersfield Police,4/5/2021 15:43
AUTO THEFT,GO 202163969,1100 BLK UNION AV,Bakersfield Police,4/5/2021 14:18
BURG-VEH (NO LOSS/ATT THEFT),GO 202163969,1100 BLK UNION AV,Bakersfield Police,4/5/2021 14:18
AGG ASSAULT-FAMILY ID WEAPON,GO 202165099,2600 BLK L ST,Bakersfield Police,4/5/2021 12:00
DRUG-PARAPHERNALIA POSSESSION,GO 202163755,600 BLK N ST,Bakersfield Police,4/5/2021 10:37
THEFT,GO 202163725,100 BLK E CALIFORNIA AV,Bakersfield Police,4/5/2021 9:45
ASSAULT-SIMPLE,GO 202163695,100 BLK E CALIFORNIA AV,Bakersfield Police,4/5/2021 8:47
AGG ASSAULT-NONFAMILY-ID WPN,GO 202163632,3100 BLK PANAMA ST,Bakersfield Police,4/5/2021 5:20
BURGLARY-FORCED-RESIDENCE,GO 202163632,3100 BLK PANAMA ST,Bakersfield Police,4/5/2021 5:20
WEAPON-POSSESS MISD,GO 202163581,1100 BLK UNION AV,Bakersfield Police,4/5/2021 1:01
BURG-VEH (THEFT OF NON-PARTS),GO 202163603,100 BLK E 18TH ST,Bakersfield Police,4/4/2021 22:30
SEX-PROSTITUTION,GO 202163419,1400 BLK 23RD ST,Bakersfield Police,4/4/2021 19:47
LIQUOR,GO 202163419,1400 BLK 23RD ST,Bakersfield Police,4/4/2021 19:47
AUTO THEFT,GO 202163638,800 BLK 4TH ST,Bakersfield Police,4/4/2021 17:00
AUTO THEFT,GO 202163282,100 BLK W NILES ST,Bakersfield Police,4/4/2021 13:00
AGG ASSAULT-NONFAMILY STGARM,GO 202163026,1800 BLK N ST,Bakersfield Police,4/4/2021 2:04
THEFT-CATALYTIC CONVERTER,GO 202163163,1600 BLK EYE ST,Bakersfield Police,4/3/2021 18:57
TRAFFIC-DUI ALCOHOL MISDEMEANR,GO 202162701,1000 BLK O ST,Bakersfield Police,4/3/2021 18:27
ROBBERY-RESIDENCE-ID WEAPON,GO 202161984,1000 BLK S TULARE ST,Bakersfield Police,4/2/2021 14:00
ROBBERY-BUSINESS-ID WEAPON,GO 202161535,1200 BLK 19TH ST,Bakersfield Police,4/2/2021 2:00
ASSAULT-SIMPLE,GO 202161383,1100 BLK 19TH ST,Bakersfield Police,4/1/2021 20:00
DRUG-PARAPHERNALIA POSSESSION,GO 202161228,CALIFORNIA AV / L ST,Bakersfield Police,4/1/2021 16:19
AUTO THEFT-RECEIVE STOLEN VEH,GO 202161228,CALIFORNIA AV / L ST,Bakersfield Police,4/1/2021 16:19
DRUG OFFENSE,GO 202161228,CALIFORNIA AV / L ST,Bakersfield Police,4/1/2021 16:19
DRUG-SYNTHETIC-UTI,GO 202161126,1800 BLK UNION AV,Bakersfield Police,4/1/2021 14:00
AUTO THEFT,GO 202161395,1100 BLK PERSHING ST,Bakersfield Police,4/1/2021 7:00
DRUG-AMPHETAMINE-POSSESSION,GO 202160814,1300 BLK CHESTER AV,Bakersfield Police,4/1/2021 2:19
WEAPON-FIRING,GO 202160814,1300 BLK CHESTER AV,Bakersfield Police,4/1/2021 2:19
DRUG-PARAPHERNALIA POSSESSION,GO 202160814,1300 BLK CHESTER AV,Bakersfield Police,4/1/2021 2:19
BURGLARY-FORCED-BUSINESS,GO 202164996,2200 BLK F ST,Bakersfield Police,3/31/2021 17:00
ASSAULT-SIMPLE,GO 202160394,1800 BLK 28TH ST,Bakersfield Police,3/31/2021 13:47
THEFT,GO 2021802280,1600 BLK CHESTER AV,Bakersfield Police,3/31/2021 12:44
AUTO THEFT,GO 202160103,1900 BLK UNION AV,Bakersfield Police,3/31/2021 5:38
THEFT-CATALYTIC CONVERTER,GO 202160055,1700 BLK O ST,Bakersfield Police,3/31/2021 1:30
BURG-VEH (THEFT OF NON-PARTS),GO 202160007,2400 BLK CHESTER AV,Bakersfield Police,3/30/2021 21:45
AUTO THEFT,GO 202160871,700 BLK P ST,Bakersfield Police,3/30/2021 12:00
DRUG-AMPHETAMINE-POSSESSION,GO 202159523,1400 BLK TRUXTUN AV,Bakersfield Police,3/30/2021 10:38
SEX-PROSTITUTION,GO 202159490,2100 BLK 24TH ST,Bakersfield Police,3/30/2021 9:39
AGG ASSAULT-WEAPON,GO 202159475,600 BLK 19TH ST,Bakersfield Police,3/30/2021 9:19
HOMICIDE-NONFAMILY-GUN,GO 202159263,700 BLK 30TH ST,Bakersfield Police,3/29/2021 23:09
AGG ASSAULT-WEAPON,GO 202159263,700 BLK 30TH ST,Bakersfield Police,3/29/2021 23:09
THEFT,GO 202159164,1800 BLK 23RD ST,Bakersfield Police,3/29/2021 19:44
DRUG-AMPHETAMINE-POSSESSION,GO 202159114,1300 BLK 22ND ST,Bakersfield Police,3/29/2021 18:32
DRUG OFFENSE,GO 202159114,1300 BLK 22ND ST,Bakersfield Police,3/29/2021 18:32
