Description,Incident #,Location,Agency,Date
TAKE VEHICLE W/O OWNER`S CONSENT/VEHICLE THEFT,2103217,12200 BLOCK CENTRAL AVE,Chino Police,4/12/2021 12:54
BURGLARY /FELONY,2103176,14600 BLOCK YORBA CT,Chino Police,4/10/2021 22:29
TAKE VEHICLE W/O OWNER`S CONSENT/VEHICLE THEFT,2103168,4700 BLOCK RIVERSIDE DR,Chino Police,4/10/2021 17:55
BURGLARY,2103060,13100 BLOCK CENTRAL AVE,Chino Police,4/9/2021 3:02
BURGLARY,2103029,13100 BLOCK 9TH ST,Chino Police,4/7/2021 16:00
"GRAND THEFT, BOAT (OVER $950)",210970029,4000 BLOCK GRAND FIR LN,San Bernardino County Sheriff,4/7/2021 10:50
TAKE VEHICLE W/O OWNER`S CONSENT/VEHICLE THEFT,2102986,5400 BLOCK PHILADELPHIA ST,Chino Police,4/6/2021 18:42
FALSE IMPRISONMENT,2102965,6300 BLOCK EISENHOWER CT,Chino Police,4/6/2021 8:33
TAKE VEHICLE W/O OWNER`S CONSENT/VEHICLE THEFT,2102957,14500 BLOCK RAMONA AVE,Chino Police,4/5/2021 19:41
"ADW HANDS, FEET, FIST, ETC",210930088,4100 BLOCK GRAND FIR LN,San Bernardino County Sheriff,4/3/2021 22:32
BURGLARY,2102891,12900 BLOCK RAMONA AVE,Chino Police,4/2/2021 23:00
BURGLARY,2102832,12900 BLOCK CENTRAL AVE,Chino Police,4/2/2021 6:18
PARAPHERNALIA - POSSESS UNLAWFUL,2102790,13600 BLOCK CENTRAL AVE,Chino Police,3/31/2021 21:57
POSSESS CONTROLLED SUBSTANCE,2102786,13100 BLOCK 11TH ST,Chino Police,3/31/2021 20:12
PARAPHERNALIA - POSSESS UNLAWFUL,2102781,5600 BLOCK D ST,Chino Police,3/31/2021 17:51
ACQUIRE ACCESS CARD W/OUT CONSENT W/INTENT TO SELL/ETC,2102778,12900 BLOCK 4TH ST,Chino Police,3/31/2021 15:01
PARAPHERNALIA - POSSESS UNLAWFUL,2102774,MONTE VISTA AVE/FRANCIS AVE,Chino Police,3/31/2021 12:43
GRAND THEFT,2102770,12100 BLOCK RAMONA AVE,Chino Police,3/31/2021 11:14
PARAPHERNALIA - POSSESS UNLAWFUL,2102761,12200 BLOCK CENTRAL AVE,Chino Police,3/31/2021 7:28
POSSESS CONTROLLED SUBSTANCE,2102758,12900 BLOCK BENSON AVE,Chino Police,3/31/2021 1:51
BATTERY,2102753,14500 BLOCK RAMONA AVE,Chino Police,3/30/2021 20:26
PARAPHERNALIA - POSSESS UNLAWFUL,2102746,12200 BLOCK CENTRAL AVE,Chino Police,3/30/2021 18:12
VANDALISM:DEFACE PROPERTY,2102764,12900 BLOCK CENTRAL AVE,Chino Police,3/30/2021 18:00
PARAPHERNALIA - POSSESS UNLAWFUL,2102733,12200 BLOCK MOUNTAIN AVE,Chino Police,3/30/2021 14:07
PETTY THEFT - MAIL OR PACKAGE,2102767,6500 BLOCK GRANT CT,Chino Police,3/30/2021 14:00
PARAPHERNALIA - POSSESS UNLAWFUL,2102718,12200 BLOCK CENTRAL AVE,Chino Police,3/30/2021 0:28
