Description,Incident #,Location,Agency,Date,street_address,city,state,lat,long
PARAPHERNALIA - POSSESS UNLAWFUL,2102341,REVERE ST/BRIDGER AVE,Chino Police,3/17/2021 16:50,REVERE ST & BRIDGER AVE,Chino,CA,34.032665,-117.69164
PETTY THEFT - MAIL OR PACKAGE,2102344,6000 BLOCK ROSA CT,Chino Police,3/17/2021 14:50,6050 ROSA CT,Chino,CA,34.017136,-117.673225
IDENTITY THEFT: GET CREDIT/ETC OTHER`S ID,2102362,13300 BLOCK ELLIOT AVE,Chino Police,3/17/2021 14:00,13350 ELLIOT AVE,Chino,CA,34.01119,-117.67893
BURGLARY - COMMERCIAL - NO FORCED ENTRY (NOT SHOPLIFT),2102328,5200 BLOCK RIVERSIDE DR,Chino Police,3/17/2021 7:55,5250 RIVERSIDE DR,Chino,CA,34.01909,-117.69007
TAKE TRUCK/BUS W/O OWNER`S CONSENT/VEHICLE THEFT,2102325,12400 BLOCK BAKER AVE,Chino Police,3/17/2021 3:00,12450 BAKER AVE,Chino,CA,34.027157,-117.70139
APPROPRIATE LOST PROPERTY,2102323,12500 BLOCK MOUNTAIN AVE,Chino Police,3/16/2021 23:58,12550 MOUNTAIN AVE,Chino,CA,34.025627,-117.6676
BURGLARY - RESIDENTIAL - FORCED ENTRY,2102314,11900 BLOCK TELEPHONE AVE,Chino Police,3/16/2021 15:05,11950 TELEPHONE AVE,Chino,CA,34.036015,-117.69385
BURGLARY - RESIDENTIAL - NO FORCED ENTRY,2102320,11800 BLOCK TELEPHONE AVE,Chino Police,3/16/2021 14:50,11850 TELEPHONE AVE,Chino,CA,34.038555,-117.69386
BURGLARY - COMMERCIAL - FORCED ENTRY,2102295,12300 BLOCK MOUNTAIN AVE,Chino Police,3/16/2021 8:59,12350 MOUNTAIN AVE,Chino,CA,34.0284,-117.667625
BURGLARY - COMMERCIAL - FORCED ENTRY,2102290,13700 BLOCK ROSWELL AVE,Chino Police,3/16/2021 2:32,13750 ROSWELL AVE,Chino,CA,34.003254,-117.721794
