Description,Incident #,Location,Agency,Date,street_address,city,state,lat,long
TAKE AUTO W/O OWNER`S CONSENT/VEHICLE THEFT,2102678,6000 BLOCK NOTRE DAME AVE,Chino Police,3/28/2021 21:54,6050 NOTRE DAME AVE,Chino,CA,33.994812,-117.67432
TAKE AUTO W/O OWNER`S CONSENT/VEHICLE THEFT,2102677,5900 BLOCK NOTRE DAME AVE,Chino Police,3/28/2021 20:19,5950 NOTRE DAME AVE,Chino,CA,33.995605,-117.67506
BATTERY WITH SERIOUS BODILY INJURY,2102676,4600 BLOCK EDISON AVE,Chino Police,3/28/2021 19:43,4650 EDISON AVE,Chino,CA,33.99725,-117.70332
PARAPHERNALIA - POSSESS UNLAWFUL,2102672,5700 BLOCK RIVERSIDE DR,Chino Police,3/28/2021 19:10,5750 RIVERSIDE DR,Chino,CA,34.019146,-117.67933
BURGLARY - FROM MOTOR VEHICLE,2102684,5900 BLOCK YORKSHIRE RD,Chino Police,3/28/2021 18:00,5950 YORKSHIRE RD,Chino,CA,34.007076,-117.67479
TAKE AUTO W/O OWNER`S CONSENT/VEHICLE THEFT,2102657,RAMONA AVE/WALNUT AVE,Chino Police,3/28/2021 10:47,RAMONA AVE & WALNUT AVE,Chino,CA,34.026208,-117.7089995
POSSESS NARCOTIC CONTROLLED SUBSTANCE,2102655,RAMONA AVE/PHILADELPHIA ST,Chino Police,3/28/2021 8:30,RAMONA AVE & PHILADELPHIA ST,Chino,CA,34.0334867,-117.7090838
PARAPHERNALIA - POSSESS UNLAWFUL,2102653,5200 BLOCK FRANCIS AVE,Chino Police,3/28/2021 6:45,5250 FRANCIS AVE,Chino,CA,34.040833,-117.69056
BURGLARY - COMMERCIAL - FORCED ENTRY,2102652,5400 BLOCK G ST,Chino Police,3/28/2021 5:21,5450 G ST,Chino,CA,34.009945,-117.68705
DISORDERLY CONDUCT:ALCOHOL,2102648,12600 BLOCK CENTRAL AVE,Chino Police,3/28/2021 0:59,12650 CENTRAL AVE,Chino,CA,34.02342,-117.68938
THEFT BY USE OF ACCESS CARD INFORMATION,2102668,12100 BLOCK CENTRAL AVE,Chino Police,3/28/2021 0:00,12150 CENTRAL AVE,Chino,CA,34.03239,-117.68945
POSSESS NARCOTIC CONTROLLED SUBSTANCE,2102646,RUSSELL AVE/DAVIS ST,Chino Police,3/27/2021 23:22,RUSSELL AVE & DAVIS ST,Chino,CA,,
BURGLARY - COMMERCIAL - NO FORCED ENTRY (NOT SHOPLIFT),2102647,13800 BLOCK MAGNOLIA AVE,Chino Police,3/27/2021 23:20,13850 MAGNOLIA AVE,Chino,CA,34.001793,-117.67169
VANDALISM:DAMAGE PROPERTY,2102696,13800 BLOCK MAGNOLIA AVE,Chino Police,3/27/2021 23:00,13850 MAGNOLIA AVE,Chino,CA,34.001793,-117.67169
PARAPHERNALIA - POSSESS UNLAWFUL,2102637,RAMONA AVE/PHILADELPHIA ST,Chino Police,3/27/2021 17:17,RAMONA AVE & PHILADELPHIA ST,Chino,CA,,
BURGLARY - FROM MOTOR VEHICLE,2102686,4500 BLOCK EUCALYPTUS AVE,Chino Police,3/27/2021 16:00,4550 EUCALYPTUS AVE,Chino,CA,33.990005,-117.70532
TAKE AUTO W/O OWNER`S CONSENT/VEHICLE THEFT,2102631,12400 BLOCK YORBA AVE,Chino Police,3/27/2021 14:33,12450 YORBA AVE,Chino,CA,34.02716,-117.70248
GRAND THEFT - MAIL/PACKAGES,2102725,4600 BLOCK TERRY AVE,Chino Police,3/27/2021 12:00,4650 TERRY AVE,Chino,CA,34.02809,-117.70364
GRAND THEFT - MOTOR VEH PARTS,2102706,4900 BLOCK TAFT AVE,Chino Police,3/27/2021 2:40,4950 TAFT AVE,Chino,CA,34.039898,-117.697235
VANDALISM:DEFACE PROPERTY,2102624,13200 BLOCK 9TH ST,Chino Police,3/27/2021 2:11,13250 9TH ST,Chino,CA,34.01279,-117.688
PARAPHERNALIA - POSSESS UNLAWFUL,2102623,12200 BLOCK CENTRAL AVE,Chino Police,3/27/2021 0:54,12250 CENTRAL AVE,Chino,CA,34.031708,-117.689445
GRAND THEFT - MOTOR VEH PARTS,2102775,4600 BLOCK OCEANSIDE DR,Chino Police,3/27/2021 0:00,4650 OCEANSIDE DR,Chino,CA,34.016724,-117.70341
TAKE AUTO W/O OWNER`S CONSENT/VEHICLE THEFT,2102619,4800 BLOCK HANCOCK ST,Chino Police,3/26/2021 22:09,4850 HANCOCK ST,Chino,CA,34.035,-117.698494
POSSESS CONTROLLED SUBSTANCE,2102616,5300 BLOCK G ST,Chino Police,3/26/2021 21:10,5350 G ST,Chino,CA,34.009945,-117.68834
BATTERY,2102615,6300 BLOCK SOUTHWESTERN ST,Chino Police,3/26/2021 20:25,6350 SOUTHWESTERN ST,Chino,CA,,
GRAND THEFT - FROM BUILDINGS,2102689,3900 BLOCK SCHAEFER AVE,Chino Police,3/26/2021 18:00,3950 SCHAEFER AVE,Chino,CA,34.004395,-117.71838
PARAPHERNALIA - POSSESS UNLAWFUL,2102608,12100 BLOCK CENTRAL AVE,Chino Police,3/26/2021 15:06,12150 CENTRAL AVE,Chino,CA,34.03239,-117.68945
