PK,CCR,HIERARCHY,INCIDENTTIME,incident_year,incident_month,incident_day_of_week,incident_time_12hr,incident_hour,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
247583239,21045077,27,2021-03-17T16:10:00Z,2021,March,Wednesday,04:10 PM,04 PM,"Forbes Ave & S Dithridge St Pittsburgh, PA 15213",N,North Oakland,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,404,8,3,-79.9502260264243,40.4440516346455
247595750,21045154,10,2021-03-17T17:56:00Z,2021,March,Wednesday,05:56 PM,05 PM,"3100 Block Huxley St Pittsburgh, PA 15204",Y,Sheraden,6,SIMPLE ASSAULT,2701 Simple Assault.,2022,2,5,-80.0620869394588,40.4534723441271
247599865,21045260,99,2021-03-17T20:40:00Z,2021,March,Wednesday,08:40 PM,08 PM,"4700 Block Liberty Ave Pittsburgh, PA 15224",N,Bloomfield,5,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,809,7,2,-79.9498576275047,40.4620780855382
247602794,21045302,0,2021-03-17T22:06:00Z,2021,March,Wednesday,10:06 PM,10 PM,"300 Block Grant St Pittsburgh, PA 15219",N,Central Business District,2,99,901 Criminal Attempt / 611.03 (b) Burglary Alarm to Deactivate After 30 Minutes,201,6,6,-79.9979301341696,40.4378124774382
247604571,21045334,26,2021-03-17T23:07:00Z,2021,March,Wednesday,11:07 PM,11 PM,"2400 Block Plainview Ave Pittsburgh, PA 15226",N,Brookline,6,CRIMINAL TRESPASS,3503 Criminal Trespass / 5506 Loitering and Prowling at Night,1919,4,5,-80.0216068822331,40.4000151264288
247666991,21045883,6,2021-03-18T20:49:00Z,2021,March,Thursday,08:49 PM,08 PM,"500 Block N Euclid Ave Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1113,9,2,-79.9252877999661,40.4667464624736
247674030,21045961,18,2021-03-18T22:39:00Z,2021,March,Thursday,10:39 PM,10 PM,"6400 Block Penn Ave Pittsburgh, PA 15206",Y,Larimer,5,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount,1208,9,2,-79.917435063919,40.4575134909614
247674940,21046017,0,2021-03-19T01:00:00Z,2021,March,Friday,01:00 AM,01 AM,"2100 Block Park Hill Dr Pittsburgh, PA 15221",N,East Hills,5,99,9994 PFA Service,1306,9,2,-79.8740675554629,40.4532044463424
247678899,21045387,10,2021-03-18T01:00:00Z,2021,March,Thursday,01:00 AM,01 AM,"30 Block S 6th St Pittsburgh, PA 15203",Y,South Side Flats,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3304 Criminal Mischief.",1702,3,3,-79.9938044797986,40.4297627362741
247700926,21046204,27,2021-03-19T10:20:00Z,2021,March,Friday,10:20 AM,10 AM,"5th Ave & Shady Ave Pittsburgh, PA 15206",N,Shadyside,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,708,8,3,-79.9207158563846,40.452902087372
247701335,21046192,99,2021-03-19T10:47:00Z,2021,March,Friday,10:47 AM,10 AM,"1700 Block Perrysville Ave Pittsburgh, PA 15212",N,Central North Side,1,DOG BITE,9492 Dog Bite,2503,6,1,-80.0097081468016,40.4603961926616
247702481,21046229,6,2021-03-19T10:00:00Z,2021,March,Friday,10:00 AM,10 AM,"100 Block Rahe St Pittsburgh, PA 15210",N,Arlington,3,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1603,3,3,-79.9798864773248,40.4171349250202
247703002,21046251,14,2021-03-19T07:30:00Z,2021,March,Friday,07:30 AM,07 AM,"1800 Block West Liberty Ave Pittsburgh, PA 15226",N,Brookline,6,CRIM MISCHIEF,3304 Criminal Mischief.,1917,4,5,-80.0185049040731,40.4064015306488
247703045,21046225,11,2021-03-18T18:00:00Z,2021,March,Thursday,06:00 PM,06 PM,"6400 Block Adelphia St Pittsburgh, PA 15206",N,Stanton Heights,5,THEFT BY DECEPTION,3922 Theft by Deception.,1018,7,2,-79.9317168626308,40.4871736766039
247708883,21046279,11,2021-03-19T08:00:00Z,2021,March,Friday,08:00 AM,08 AM,"100 Block Merrimac St Pittsburgh, PA 15211",N,Mount Washington,3,IDENTITY THEFT,4120 Identity Theft,1903,2,5,-80.012954270874,40.4353320863097
247710085,21046256,0,2021-03-19T12:30:00Z,2021,March,Friday,12:30 PM,12 PM,"600 Block Penn Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident):,201,6,6,-80.0017928321911,40.4425929172081
247486631,21044444,6,2021-03-16T15:55:00Z,2021,March,Tuesday,03:55 PM,03 PM,"5500 Block Centre Ave Pittsburgh, PA 15232",N,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,709,8,2,-79.9364516460773,40.4565706706801
247493378,21044575,5,2021-03-16T15:00:00Z,2021,March,Tuesday,03:00 PM,03 PM,"4100 Block Murray Ave Pittsburgh, PA 15217",N,Greenfield,4,BURGLARY,3502 Burglary.,1517,5,3,-79.9284158902851,40.4248966246086
