Description,Incident #,Location,Agency,incident_datetime,incident_date,incident_month,incident_day_of_week,incident_time_24hr_clock,time_ampm,street_address,city,state,lat,long
AGG ASSAULT,211040847,600 BLK BALFOUR DR,San Jose Police,4/14/2021 20:43,4/14/2021,April,Wednesday,20:43,PM,650 BALFOUR DR,San Jose,CA,37.300797,-121.8391
AUTO THEFT,SJ202132,2600 BLK SENTER RD,San Jose Police,4/6/2021 13:04,4/6/2021,April,Tuesday,13:04,PM,2650 SENTER RD,San Jose,CA,37.301296,-121.84122
AUTO THEFT,210960406,2600 BLK SENTER RD,San Jose Police,4/6/2021 11:52,4/6/2021,April,Tuesday,11:52,AM,2650 SENTER RD,San Jose,CA,37.301296,-121.84122
AGG ASSAULT,210940711,2600 BLK SENTER RD,San Jose Police,4/4/2021 21:37,4/4/2021,April,Sunday,21:37,PM,2650 SENTER RD,San Jose,CA,37.301296,-121.84122
ASSAULT,210911027,15 BLK OLD TULLY RD,San Jose Police,4/1/2021 21:51,4/1/2021,April,Thursday,21:51,PM,15 BLK OLD TULLY RD,San Jose,CA,37.30133,-121.857376
NARCOTICS,210820784,15 BLK OLD TULLY RD,San Jose Police,3/23/2021 18:55,3/23/2021,March,Tuesday,18:55,PM,15 BLK OLD TULLY RD,San Jose,CA,37.30133,-121.857376
FORGERY/FRAUD,211053210,500 BLK UMBARGER RD,San Jose Police,4/15/2021 13:10,4/15/2021,April,Thursday,13:10,PM,550 UMBARGER RD,San Jose,CA,37.301395,-121.842705
AGG ASSAULT,210950705,2300 BLK MONTEREY RD,San Jose Police,4/5/2021 20:00,4/5/2021,April,Monday,20:00,PM,2350 MONTEREY RD,San Jose,CA,37.3016,-121.859024
BURGLARY,211040220,2200 BLK MONTEREY RD,San Jose Police,4/14/2021 9:13,4/14/2021,April,Wednesday, 9:13,AM,2250 MONTEREY RD,San Jose,CA,37.302826,-121.86024
AGG ASSAULT,211000459,2600 BLK SENTER CREEK CT,San Jose Police,4/10/2021 14:12,4/10/2021,April,Saturday,14:12,PM,2650 SENTER CREEK CT,San Jose,CA,37.303524,-121.842064
AUTO THEFT,211040125,2600 BLK CORDE TERRA CL,San Jose Police,4/14/2021 6:41,4/14/2021,April,Wednesday, 6:41,AM,2650 CORDE TERRA CL,San Jose,CA,37.304016,-121.849365
AUTO THEFT,210970686,2600 BLK CORDE TERRA CL,San Jose Police,4/7/2021 16:08,4/7/2021,April,Wednesday,16:08,PM,2650 CORDE TERRA CL,San Jose,CA,37.304016,-121.849365
PETTY THEFT,210959506,2600 BLK CORDE TERRA CL,San Jose Police,4/5/2021 15:20,4/5/2021,April,Monday,15:20,PM,2650 CORDE TERRA CL,San Jose,CA,37.304016,-121.849365
AUTO THEFT,210899701,2600 BLK CORDE TERRA CL,San Jose Police,3/30/2021 8:25,3/30/2021,March,Tuesday, 8:25,AM,2650 CORDE TERRA CL,San Jose,CA,37.304016,-121.849365
NARCOTICS,211040349,400 BLK BALTIC WY,San Jose Police,4/14/2021 11:55,4/14/2021,April,Wednesday,11:55,AM,450 BALTIC WY,San Jose,CA,37.30413,-121.847115
PETTY THEFT,211033211,4000 BLK YERBA BUENA AV,San Jose Police,4/13/2021 9:12,4/13/2021,April,Tuesday, 9:12,AM,4050 YERBA BUENA AV,San Jose,CA,37.304768,-121.78216
ARSON,211040099,2500 BLK SENTER RD,San Jose Police,4/14/2021 5:10,4/14/2021,April,Wednesday, 5:10,AM,2550 SENTER RD,San Jose,CA,37.30478,-121.844574
WEAPONS,211010383,2100 BLK MONTEREY HY,San Jose Police,4/11/2021 10:54,4/11/2021,April,Sunday,10:54,AM,2150 MONTEREY HY,San Jose,CA,37.305046,-121.86245
AGG ASSAULT,211060197,2100 BLK MONTEREY RD,San Jose Police,4/16/2021 8:15,4/16/2021,April,Friday, 8:15,AM,2150 MONTEREY RD,San Jose,CA,37.305046,-121.86245
AUTO THEFT,211050939,2100 BLK MONTEREY RD,San Jose Police,4/15/2021 22:26,4/15/2021,April,Thursday,22:26,PM,2150 MONTEREY RD,San Jose,CA,37.305046,-121.86245
VANDALISM,211043217,2100 BLK MONTEREY RD,San Jose Police,4/14/2021 13:35,4/14/2021,April,Wednesday,13:35,PM,2150 MONTEREY RD,San Jose,CA,37.305046,-121.86245
ASSAULT,211040207,2100 BLK MONTEREY RD,San Jose Police,4/14/2021 9:30,4/14/2021,April,Wednesday, 9:30,AM,2150 MONTEREY RD,San Jose,CA,37.305046,-121.86245
AGG ASSAULT,211010799,2100 BLK MONTEREY RD,San Jose Police,4/11/2021 19:30,4/11/2021,April,Sunday,19:30,PM,2150 MONTEREY RD,San Jose,CA,37.305046,-121.86245
AGG ASSAULT,210980640,2100 BLK MONTEREY RD,San Jose Police,4/8/2021 17:06,4/8/2021,April,Thursday,17:06,PM,2150 MONTEREY RD,San Jose,CA,37.305046,-121.86245
BURGLARY,210900490,2100 BLK MONTEREY RD,San Jose Police,3/31/2021 12:39,3/31/2021,March,Wednesday,12:39,PM,2150 MONTEREY RD,San Jose,CA,37.305046,-121.86245
BURGLARY,210890381,2100 BLK MONTEREY RD,San Jose Police,3/30/2021 11:08,3/30/2021,March,Tuesday,11:08,AM,2150 MONTEREY RD,San Jose,CA,37.305046,-121.86245
GRAND THEFT,210870905,2100 BLK MONTEREY RD,San Jose Police,3/28/2021 21:20,3/28/2021,March,Sunday,21:20,PM,2150 MONTEREY RD,San Jose,CA,37.305046,-121.86245
NARCOTICS,210870488,2100 BLK MONTEREY RD,San Jose Police,3/28/2021 14:19,3/28/2021,March,Sunday,14:19,PM,2150 MONTEREY RD,San Jose,CA,37.305046,-121.86245
NARCOTICS,210870355,2100 BLK MONTEREY RD,San Jose Police,3/28/2021 11:31,3/28/2021,March,Sunday,11:31,AM,2150 MONTEREY RD,San Jose,CA,37.305046,-121.86245
ROBBERY,210860290,2100 BLK MONTEREY RD,San Jose Police,3/27/2021 9:41,3/27/2021,March,Saturday, 9:41,AM,2150 MONTEREY RD,San Jose,CA,37.305046,-121.86245
ROBBERY,210830414,2100 BLK MONTEREY RD,San Jose Police,3/24/2021 11:13,3/24/2021,March,Wednesday,11:13,AM,2150 MONTEREY RD,San Jose,CA,37.305046,-121.86245
ASSAULT,210810460,2100 BLK MONTEREY RD,San Jose Police,3/22/2021 13:18,3/22/2021,March,Monday,13:18,PM,2150 MONTEREY RD,San Jose,CA,37.305046,-121.86245
FORGERY/FRAUD,210913220,2800 BLK MCLAUGHLIN AV,San Jose Police,4/1/2021 14:08,4/1/2021,April,Thursday,14:08,PM,2850 MCLAUGHLIN AV,San Jose,CA,37.30528,-121.826935
FORGERY/FRAUD,210969506,4200 BLK RUBY AV,San Jose Police,4/6/2021 14:32,4/6/2021,April,Tuesday,14:32,PM,4250 RUBY AV,San Jose,CA,37.305542,-121.77016
FORGERY/FRAUD,211063205,2100 BLK GOLDEN DEW CL,San Jose Police,4/16/2021 2:22,4/16/2021,April,Friday, 2:22,AM,2150 GOLDEN DEW CL,San Jose,CA,37.305904,-121.79602
ASSAULT,211079504,2000 BLK MONTEREY RD,San Jose Police,4/17/2021 18:23,4/17/2021,April,Saturday,18:23,PM,2050 MONTEREY RD,San Jose,CA,37.306046,-121.86346
VANDALISM,210923215,2000 BLK MONTEREY RD,San Jose Police,4/2/2021 10:39,4/2/2021,April,Friday,10:39,AM,2050 MONTEREY RD,San Jose,CA,37.306046,-121.86346
BURGLARY,210810246,2600 BLK CASEY WY,San Jose Police,3/22/2021 9:18,3/22/2021,March,Monday, 9:18,AM,2650 CASEY WY,San Jose,CA,37.306187,-121.79404
ASSAULT,210830589,2100 BLK TORYGLEN WY,San Jose Police,3/24/2021 18:00,3/24/2021,March,Wednesday,18:00,PM,2150 TORYGLEN WY,San Jose,CA,37.306244,-121.79858
AGG ASSAULT,210829857,2100 BLK TORYGLEN WY,San Jose Police,3/23/2021 17:55,3/23/2021,March,Tuesday,17:55,PM,2150 TORYGLEN WY,San Jose,CA,37.306244,-121.79858
BURGLARY,210840543,2300 BLK S 10TH ST,San Jose Police,3/25/2021 14:00,3/25/2021,March,Thursday,14:00,PM,2350 S 10TH ST,San Jose,CA,37.306328,-121.85242
BURGLARY,210980432,400 BLK TULLY RD,San Jose Police,4/8/2021 13:00,4/8/2021,April,Thursday,13:00,PM,450 TULLY RD,San Jose,CA,37.306374,-121.84996
DRUNK PUBLIC,210850637,600 BLK HERMES CT,San Jose Police,3/26/2021 16:51,3/26/2021,March,Friday,16:51,PM,650 HERMES CT,San Jose,CA,37.306396,-121.845184
DISTURB PEACE,211069509,2400 BLK SENTER RD,San Jose Police,4/16/2021 16:41,4/16/2021,April,Friday,16:41,PM,2450 SENTER RD,San Jose,CA,37.306583,-121.84631
ASSAULT,211050240,2400 BLK SENTER RD,San Jose Police,4/15/2021 9:07,4/15/2021,April,Thursday, 9:07,AM,2450 SENTER RD,San Jose,CA,37.306583,-121.84631
VANDALISM,210920018,2400 BLK SENTER RD,San Jose Police,4/2/2021 5:34,4/2/2021,April,Friday, 5:34,AM,2450 SENTER RD,San Jose,CA,37.306583,-121.84631
ASSAULT,210910386,2400 BLK SENTER RD,San Jose Police,4/1/2021 23:35,4/1/2021,April,Thursday,23:35,PM,2450 SENTER RD,San Jose,CA,37.306583,-121.84631
VANDALISM,210813222,2400 BLK SENTER RD,San Jose Police,3/22/2021 14:13,3/22/2021,March,Monday,14:13,PM,2450 SENTER RD,San Jose,CA,37.306583,-121.84631
BURGLARY,210850222,2600 BLK TOY LN,San Jose Police,3/26/2021 8:55,3/26/2021,March,Friday, 8:55,AM,2650 TOY LN,San Jose,CA,37.307106,-121.79284
AUTO THEFT,210990359,500 BLK TULLY RD,San Jose Police,4/9/2021 12:21,4/9/2021,April,Friday,12:21,PM,550 TULLY RD,San Jose,CA,37.307186,-121.84877
VANDALISM,210980219,500 BLK TULLY RD,San Jose Police,4/8/2021 9:12,4/8/2021,April,Thursday, 9:12,AM,550 TULLY RD,San Jose,CA,37.307186,-121.84877
AUTO THEFT,210890596,500 BLK TULLY RD,San Jose Police,3/30/2021 14:40,3/30/2021,March,Tuesday,14:40,PM,550 TULLY RD,San Jose,CA,37.307186,-121.84877
PETTY THEFT,210880680,2900 BLK MIDHURST WY,San Jose Police,3/29/2021 15:56,3/29/2021,March,Monday,15:56,PM,2950 MIDHURST WY,San Jose,CA,37.30727,-121.77829
FORGERY/FRAUD,210989503,3100 BLK OLDFIELD WY,San Jose Police,4/8/2021 13:49,4/8/2021,April,Thursday,13:49,PM,3150 OLDFIELD WY,San Jose,CA,37.307384,-121.77281
AUTO THEFT,210990087,LITTLE ORCHARD ST/BARNARD AV,San Jose Police,4/9/2021 3:44,4/9/2021,April,Friday, 3:44,AM,LITTLE ORCHARD ST & BARNARD AV,San Jose,CA,37.307556,-121.87406
ASSAULT,210980135,2700 BLK KERN AV,San Jose Police,4/8/2021 7:06,4/8/2021,April,Thursday, 7:06,AM,2750 KERN AV,San Jose,CA,37.307583,-121.82795
BURGLARY,210940316,3400 BLK THIMBLEHALL LN,San Jose Police,4/4/2021 11:22,4/4/2021,April,Sunday,11:22,AM,3450 THIMBLEHALL LN,San Jose,CA,37.307594,-121.80015
BURGLARY,211050363,2100 BLK S 7TH ST,San Jose Police,4/15/2021 11:55,4/15/2021,April,Thursday,11:55,AM,2150 S 7TH ST,San Jose,CA,37.30812,-121.85906
GRAND THEFT,211073203,2600 BLK SHERLOCK DR,San Jose Police,4/17/2021 18:05,4/17/2021,April,Saturday,18:05,PM,2650 SHERLOCK DR,San Jose,CA,37.30823,-121.835526
BURGLARY,210870203,2600 BLK SHERLOCK DR,San Jose Police,3/28/2021 7:31,3/28/2021,March,Sunday, 7:31,AM,2650 SHERLOCK DR,San Jose,CA,37.30823,-121.835526
FORGERY/FRAUD,210893224,2700 BLK SUISUN AV,San Jose Police,3/30/2021 15:59,3/30/2021,March,Tuesday,15:59,PM,2750 SUISUN AV,San Jose,CA,37.308372,-121.7894
VANDALISM,211020156,600 BLK TULLY RD,San Jose Police,4/12/2021 5:34,4/12/2021,April,Monday, 5:34,AM,650 TULLY RD,San Jose,CA,37.308495,-121.84683
VANDALISM,210970356,600 BLK TULLY RD,San Jose Police,4/7/2021 10:33,4/7/2021,April,Wednesday,10:33,AM,650 TULLY RD,San Jose,CA,37.308495,-121.84683
NARCOTICS,210890992,600 BLK TULLY RD,San Jose Police,3/30/2021 22:24,3/30/2021,March,Tuesday,22:24,PM,650 TULLY RD,San Jose,CA,37.308495,-121.84683
ASSAULT,210840069,600 BLK TULLY RD,San Jose Police,3/25/2021 4:02,3/25/2021,March,Thursday, 4:02,AM,650 TULLY RD,San Jose,CA,37.308495,-121.84683
NARCOTICS,210960439,500 BLK PARROTT ST,San Jose Police,4/6/2021 22:31,4/6/2021,April,Tuesday,22:31,PM,550 PARROTT ST,San Jose,CA,37.308586,-121.85016
AUTO THEFT,211060218,2300 BLK SENTER RD,San Jose Police,4/16/2021 8:51,4/16/2021,April,Friday, 8:51,AM,2350 SENTER RD,San Jose,CA,37.308636,-121.84835
AUTO THEFT,210990141,2300 BLK SENTER RD,San Jose Police,4/9/2021 7:20,4/9/2021,April,Friday, 7:20,AM,2350 SENTER RD,San Jose,CA,37.308636,-121.84835
AUTO THEFT,210959707,2300 BLK SENTER RD,San Jose Police,4/5/2021 15:50,4/5/2021,April,Monday,15:50,PM,2350 SENTER RD,San Jose,CA,37.308636,-121.84835
AUTO THEFT,210940236,2300 BLK SENTER RD,San Jose Police,4/4/2021 9:06,4/4/2021,April,Sunday, 9:06,AM,2350 SENTER RD,San Jose,CA,37.308636,-121.84835
BURGLARY,210900111,2300 BLK SENTER RD,San Jose Police,3/31/2021 4:55,3/31/2021,March,Wednesday, 4:55,AM,2350 SENTER RD,San Jose,CA,37.308636,-121.84835
AUTO THEFT,210890153,2300 BLK SENTER RD,San Jose Police,3/30/2021 7:25,3/30/2021,March,Tuesday, 7:25,AM,2350 SENTER RD,San Jose,CA,37.308636,-121.84835
BURGLARY,210880682,2300 BLK SENTER RD,San Jose Police,3/29/2021 18:38,3/29/2021,March,Monday,18:38,PM,2350 SENTER RD,San Jose,CA,37.308636,-121.84835
GRAND THEFT,210830199,2300 BLK SENTER RD,San Jose Police,3/24/2021 8:00,3/24/2021,March,Wednesday, 8:00,AM,2350 SENTER RD,San Jose,CA,37.308636,-121.84835
AUTO THEFT,210820488,ORINDA DR/HILLSBOROUGH WY,San Jose Police,3/23/2021 13:19,3/23/2021,March,Tuesday,13:19,PM,ORINDA DR & HILLSBOROUGH WY,San Jose,CA,37.308834,-121.79175
PETTY THEFT,210910370,POMONA AV/ BARNARD AV,San Jose Police,4/1/2021 10:54,4/1/2021,April,Thursday,10:54,AM,POMONA AV & BARNARD AV,San Jose,CA,37.30893,-121.871704
VANDALISM,211060312,1600 BLK S CAPITOL AV,San Jose Police,4/16/2021 16:46,4/16/2021,April,Friday,16:46,PM,1650 S CAPITOL AV,San Jose,CA,37.308968,-121.809235
VANDALISM,211010849,1600 BLK S CAPITOL AV,San Jose Police,4/11/2021 21:07,4/11/2021,April,Sunday,21:07,PM,1650 S CAPITOL AV,San Jose,CA,37.308968,-121.809235
BURGLARY,210980100,2000 BLK S 7TH ST,San Jose Police,4/8/2021 5:02,4/8/2021,April,Thursday, 5:02,AM,2050 S 7TH ST,San Jose,CA,37.309044,-121.86008
CREDIT CARD,210903217,2700 BLK EULALIE DR,San Jose Police,3/31/2021 7:32,3/31/2021,March,Wednesday, 7:32,AM,2750 EULALIE DR,San Jose,CA,37.30908,-121.828285
BURGLARY,211050104,2100 BLK S 10TH ST,San Jose Police,4/15/2021 5:28,4/15/2021,April,Thursday, 5:28,AM,2150 S 10TH ST,San Jose,CA,37.30911,-121.85537
BURGLARY,210840696,2100 BLK S 10TH ST,San Jose Police,3/25/2021 16:32,3/25/2021,March,Thursday,16:32,PM,2150 S 10TH ST,San Jose,CA,37.30911,-121.85537
FORGERY/FRAUD,210970817,PARROTT DR / SENTER RD,San Jose Police,4/7/2021 19:00,4/7/2021,April,Wednesday,19:00,PM,PARROTT DR &  SENTER RD,San Jose,CA,37.309322,-121.84909
NARCOTICS,210890651,1900 BLK S 7TH ST,San Jose Police,3/30/2021 15:42,3/30/2021,March,Tuesday,15:42,PM,1950 S 7TH ST,San Jose,CA,37.309967,-121.86109
AUTO THEFT,211040112,1700 BLK MONTEREY RD,San Jose Police,4/14/2021 5:59,4/14/2021,April,Wednesday, 5:59,AM,1750 MONTEREY RD,San Jose,CA,37.31007,-121.867455
FORGERY/FRAUD,210959505,1700 BLK MONTEREY RD,San Jose Police,4/5/2021 15:12,4/5/2021,April,Monday,15:12,PM,1750 MONTEREY RD,San Jose,CA,37.31007,-121.867455
PETTY THEFT,211003219,2200 BLK SENTER RD,San Jose Police,4/10/2021 11:13,4/10/2021,April,Saturday,11:13,AM,2250 SENTER RD,San Jose,CA,37.31031,-121.85013
VANDALISM,210893228,2200 BLK SENTER RD,San Jose Police,3/30/2021 19:36,3/30/2021,March,Tuesday,19:36,PM,2250 SENTER RD,San Jose,CA,37.31031,-121.85013
AUTO THEFT,211040428,2000 BLK DANDERHALL WY,San Jose Police,4/14/2021 14:01,4/14/2021,April,Wednesday,14:01,PM,2050 DANDERHALL WY,San Jose,CA,37.310505,-121.80186
VANDALISM,210900103,1900 BLK ABORN RD,San Jose Police,3/31/2021 8:17,3/31/2021,March,Wednesday, 8:17,AM,1950 ABORN RD,San Jose,CA,37.31105,-121.81065
AUTO THEFT,211020259,200 BLK LEO AV,San Jose Police,4/12/2021 8:46,4/12/2021,April,Monday, 8:46,AM,250 LEO AV,San Jose,CA,37.311058,-121.86415
AUTO THEFT,210870357,2500 BLK BOREN DR,San Jose Police,3/28/2021 11:32,3/28/2021,March,Sunday,11:32,AM,2550 BOREN DR,San Jose,CA,37.31116,-121.834885
VANDALISM,210840274,2500 BLK BOREN DR,San Jose Police,3/25/2021 9:31,3/25/2021,March,Thursday, 9:31,AM,2550 BOREN DR,San Jose,CA,37.31116,-121.834885
VANDALISM,211013220,GALVESTON AV / TULLY RD,San Jose Police,4/11/2021 11:39,4/11/2021,April,Sunday,11:39,AM,GALVESTON AV &  TULLY RD,San Jose,CA,37.31147,-121.842316
WEAPONS,211020238,2100 BLK SENTER RD,San Jose Police,4/12/2021 13:00,4/12/2021,April,Monday,13:00,PM,2150 SENTER RD,San Jose,CA,37.311623,-121.85152
VANDALISM,210980410,2100 BLK SENTER RD,San Jose Police,4/8/2021 12:42,4/8/2021,April,Thursday,12:42,PM,2150 SENTER RD,San Jose,CA,37.311623,-121.85152
FORGERY/FRAUD,210993204,1500 BLK POMONA AV,San Jose Police,4/9/2021 16:25,4/9/2021,April,Friday,16:25,PM,1550 POMONA AV,San Jose,CA,37.31166,-121.87434
AUTO THEFT,210970310,2100 BLK ABORN RD,San Jose Police,4/7/2021 9:51,4/7/2021,April,Wednesday, 9:51,AM,2150 ABORN RD,San Jose,CA,37.311756,-121.80615
AGG ASSAULT,210950031,2100 BLK ABORN RD,San Jose Police,4/5/2021 0:49,4/5/2021,April,Monday, 0:49,AM,2150 ABORN RD,San Jose,CA,37.311756,-121.80615
PETTY THEFT,210813212,2100 BLK ABORN RD,San Jose Police,3/22/2021 11:47,3/22/2021,March,Monday,11:47,AM,2150 ABORN RD,San Jose,CA,37.311756,-121.80615
GRAND THEFT,210890647,1700 BLK S KING RD,San Jose Police,3/30/2021 15:37,3/30/2021,March,Tuesday,15:37,PM,1750 S KING RD,San Jose,CA,37.31185,-121.814575
PETTY THEFT,210880969,1700 BLK S KING RD,San Jose Police,3/29/2021 22:02,3/29/2021,March,Monday,22:02,PM,1750 S KING RD,San Jose,CA,37.31185,-121.814575
VANDALISM,210950228,1500 BLK ALDRICH WY,San Jose Police,4/5/2021 9:54,4/5/2021,April,Monday, 9:54,AM,1550 ALDRICH WY,San Jose,CA,37.312202,-121.82203
AUTO THEFT,210841026,1900 BLK SENTER RD,San Jose Police,3/25/2021 23:17,3/25/2021,March,Thursday,23:17,PM,1950 SENTER RD,San Jose,CA,37.312428,-121.85238
VANDALISM,210840132,1900 BLK SENTER RD,San Jose Police,3/25/2021 5:46,3/25/2021,March,Thursday, 5:46,AM,1950 SENTER RD,San Jose,CA,37.312428,-121.85238
VANDALISM,210813208,1900 BLK SENTER RD,San Jose Police,3/22/2021 10:44,3/22/2021,March,Monday,10:44,AM,1950 SENTER RD,San Jose,CA,37.312428,-121.85238
WEAPONS,210880320,2200 BLK WILL WOOL DRIVE,San Jose Police,3/30/2021 2:30,3/30/2021,March,Tuesday, 2:30,AM,2250 WILL WOOL DRIVE,San Jose,CA,37.31245,-121.848076
AUTO THEFT,210990148,1000 BLK WOODMINSTER DR,San Jose Police,4/9/2021 7:35,4/9/2021,April,Friday, 7:35,AM,1050 WOODMINSTER DR,San Jose,CA,37.31256,-121.83805
AUTO THEFT,211040682,2900 BLK ABORN SQUARE RD,San Jose Police,4/14/2021 21:34,4/14/2021,April,Wednesday,21:34,PM,2950 ABORN SQUARE RD,San Jose,CA,37.312572,-121.81061
BURGLARY,211020466,2900 BLK ABORN SQUARE RD,San Jose Police,4/12/2021 12:15,4/12/2021,April,Monday,12:15,PM,2950 ABORN SQUARE RD,San Jose,CA,37.312572,-121.81061
VANDALISM,210969507,2900 BLK ABORN SQUARE RD,San Jose Police,4/6/2021 14:56,4/6/2021,April,Tuesday,14:56,PM,2950 ABORN SQUARE RD,San Jose,CA,37.312572,-121.81061
PETTY THEFT,210810376,2900 BLK ABORN SQUARE RD,San Jose Police,3/22/2021 11:33,3/22/2021,March,Monday,11:33,AM,2950 ABORN SQUARE RD,San Jose,CA,37.312572,-121.81061
NARCOTICS,210970963,800 BLK TULLY RD,San Jose Police,4/7/2021 20:43,4/7/2021,April,Wednesday,20:43,PM,850 TULLY RD,San Jose,CA,37.31258,-121.840515
AUTO THEFT,210970424,2900 BLK ATWOOD DR,San Jose Police,4/7/2021 11:42,4/7/2021,April,Wednesday,11:42,AM,2950 ATWOOD DR,San Jose,CA,37.312775,-121.81079
ARSON,211029714,3300 BLK SAN FELIPE RD,San Jose Police,4/12/2021 15:50,4/12/2021,April,Monday,15:50,PM,3350 SAN FELIPE RD,San Jose,CA,37.31289,-121.78974
AGG ASSAULT,211000724,3300 BLK SAN FELIPE RD,San Jose Police,4/10/2021 19:08,4/10/2021,April,Saturday,19:08,PM,3350 SAN FELIPE RD,San Jose,CA,37.31289,-121.78974
AUTO THEFT,210890186,ALDRICH WY/ALVIN AV,San Jose Police,3/30/2021 8:15,3/30/2021,March,Tuesday, 8:15,AM,ALDRICH WY & ALVIN AV,San Jose,CA,37.31289,-121.821526
AUTO THEFT,210890128,1500 BLK FORD AV,San Jose Police,3/30/2021 5:36,3/30/2021,March,Tuesday, 5:36,AM,1550 FORD AV,San Jose,CA,37.313305,-121.87236
AUTO THEFT,210960653,1300 BLK VINE ST,San Jose Police,4/6/2021 19:54,4/6/2021,April,Tuesday,19:54,PM,1350 VINE ST,San Jose,CA,37.313457,-121.87955
AGG ASSAULT,210879812,1300 BLK VINE ST,San Jose Police,3/28/2021 0:07,3/28/2021,March,Sunday, 0:07,AM,1350 VINE ST,San Jose,CA,37.313457,-121.87955
DUI,210991005,LITTLE ORCHARD ST / W ALMA AV,San Jose Police,4/10/2021 0:05,4/10/2021,April,Saturday, 0:05,AM,LITTLE ORCHARD ST &  W ALMA AV,San Jose,CA,37.313557,-121.87802
AUTO THEFT,210820401,600 BLK WOOL CREEK DR,San Jose Police,3/23/2021 12:08,3/23/2021,March,Tuesday,12:08,PM,650 WOOL CREEK DR,San Jose,CA,37.3136,-121.85113
VANDALISM,210973224,1600 BLK MONTEREY HY,San Jose Police,4/7/2021 14:30,4/7/2021,April,Wednesday,14:30,PM,1650 MONTEREY HY,San Jose,CA,37.313663,-121.87105
LICENSE PLATE,211070194,2300 BLK WARFIELD WY,San Jose Police,4/17/2021 8:18,4/17/2021,April,Saturday, 8:18,AM,2350 WARFIELD WY,San Jose,CA,37.313683,-121.84213
VANDALISM,210870960,2300 BLK WARFIELD WY,San Jose Police,3/28/2021 22:00,3/28/2021,March,Sunday,22:00,PM,2350 WARFIELD WY,San Jose,CA,37.313683,-121.84213
AGG ASSAULT,210870133,100 BLK AUSTIN CT,San Jose Police,3/28/2021 3:00,3/28/2021,March,Sunday, 3:00,AM,150 AUSTIN CT,San Jose,CA,37.313747,-121.87481
DUI,211010842,1600 BLK ALDRICH WY,San Jose Police,4/11/2021 21:53,4/11/2021,April,Sunday,21:53,PM,1650 ALDRICH WY,San Jose,CA,37.313858,-121.820076
CREDIT CARD,210953212,2600 BLK PONSELLE CT,San Jose Police,4/5/2021 13:37,4/5/2021,April,Monday,13:37,PM,2650 PONSELLE CT,San Jose,CA,37.313908,-121.82488
ASSAULT,210910185,3200 BLK EVERDALE DR,San Jose Police,4/1/2021 7:34,4/1/2021,April,Thursday, 7:34,AM,3250 EVERDALE DR,San Jose,CA,37.313972,-121.80335
VANDALISM,211000139,1000 BLK TULLY RD,San Jose Police,4/10/2021 4:40,4/10/2021,April,Saturday, 4:40,AM,1050 TULLY RD,San Jose,CA,37.31432,-121.837814
PETTY THEFT,210960815,1000 BLK TULLY RD,San Jose Police,4/6/2021 19:04,4/6/2021,April,Tuesday,19:04,PM,1050 TULLY RD,San Jose,CA,37.31432,-121.837814
PETTY THEFT,211040387,1600 BLK S 7TH ST,San Jose Police,4/14/2021 18:42,4/14/2021,April,Wednesday,18:42,PM,1650 S 7TH ST,San Jose,CA,37.31445,-121.86576
CHECKS,210850221,1600 BLK S 7TH ST,San Jose Police,3/26/2021 8:54,3/26/2021,March,Friday, 8:54,AM,1650 S 7TH ST,San Jose,CA,37.31445,-121.86576
CHECKS,210830618,1600 BLK S 7TH ST,San Jose Police,3/24/2021 15:19,3/24/2021,March,Wednesday,15:19,PM,1650 S 7TH ST,San Jose,CA,37.31445,-121.86576
AUTO THEFT,210940670,2200 BLK LUCRETIA AV,San Jose Police,4/4/2021 18:24,4/4/2021,April,Sunday,18:24,PM,2250 LUCRETIA AV,San Jose,CA,37.31452,-121.84192
BURGLARY,210810216,2200 BLK LUCRETIA AV,San Jose Police,3/22/2021 8:35,3/22/2021,March,Monday, 8:35,AM,2250 LUCRETIA AV,San Jose,CA,37.31452,-121.84192
BURGLARY,211000132,3200 BLK S WHITE RD,San Jose Police,4/10/2021 3:58,4/10/2021,April,Saturday, 3:58,AM,3250 S WHITE RD,San Jose,CA,37.31453,-121.79188
ROBBERY,210840914,3200 BLK S WHITE RD,San Jose Police,3/25/2021 19:53,3/25/2021,March,Thursday,19:53,PM,3250 S WHITE RD,San Jose,CA,37.31453,-121.79188
GRAND THEFT,210830547,3200 BLK S WHITE RD,San Jose Police,3/24/2021 15:39,3/24/2021,March,Wednesday,15:39,PM,3250 S WHITE RD,San Jose,CA,37.31453,-121.79188
BURGLARY,211020068,1500 BLK MONTEREY RD,San Jose Police,4/12/2021 2:07,4/12/2021,April,Monday, 2:07,AM,1550 MONTEREY RD,San Jose,CA,37.31468,-121.87205
BURGLARY,211020030,1500 BLK MONTEREY RD,San Jose Police,4/12/2021 0:31,4/12/2021,April,Monday, 0:31,AM,1550 MONTEREY RD,San Jose,CA,37.31468,-121.87205
DRUNK PUBLIC,210960950,1500 BLK MONTEREY RD,San Jose Police,4/6/2021 21:42,4/6/2021,April,Tuesday,21:42,PM,1550 MONTEREY RD,San Jose,CA,37.31468,-121.87205
AUTO THEFT,210910238,1400 BLK PURITANI WY,San Jose Police,4/1/2021 8:29,4/1/2021,April,Thursday, 8:29,AM,1450 PURITANI WY,San Jose,CA,37.314842,-121.82717
