Description,Incident #,Location,Agency,incident_datetime,incident_date,incident_month,incident_day_of_week,incident_time_24hr_clock,time_ampm,street_address,city,state,lat,long
AGG ASSAULT,211050207,3500 BLK PLEASENT KNOLL DR,San Jose Police,4/15/2021 9:13,4/15/2021,April,Thursday, 9:13,AM,3550 PLEASENT KNOLL DR,San Jose,CA,37.348846,-121.79258
FORGERY/FRAUD,210819702,1600 BLK E SAN ANTONIO ST,San Jose Police,3/22/2021 10:27,3/22/2021,March,Monday,10:27,AM,1650 E SAN ANTONIO ST,San Jose,CA,37.34911,-121.85425
AGG ASSAULT,210879828,2200 BLK LYONS CT,San Jose Police,3/28/2021 0:08,3/28/2021,March,Sunday, 0:08,AM,2250 LYONS CT,San Jose,CA,37.349163,-121.83691
ASSAULT,211000193,2500 BLK STORY RD,San Jose Police,4/10/2021 10:58,4/10/2021,April,Saturday,10:58,AM,2550 STORY RD,San Jose,CA,37.349304,-121.829216
VANDALISM,210850295,1900 BLK KAMMERER AV,San Jose Police,3/26/2021 11:40,3/26/2021,March,Friday,11:40,AM,1950 KAMMERER AV,San Jose,CA,37.349323,-121.84642
AUTO THEFT,210940246,3400 BLK MARTEN AV,San Jose Police,4/4/2021 9:26,4/4/2021,April,Sunday, 9:26,AM,3450 MARTEN AV,San Jose,CA,37.349552,-121.798874
WEAPONS,210810348,3400 BLK MARTEN AV,San Jose Police,3/22/2021 11:05,3/22/2021,March,Monday,11:05,AM,3450 MARTEN AV,San Jose,CA,37.349552,-121.798874
AGG ASSAULT,210879819,400 BLK OAKLAND AV,San Jose Police,3/28/2021 0:07,3/28/2021,March,Sunday, 0:07,AM,450 OAKLAND AV,San Jose,CA,37.35007,-121.84655
ASSAULT,210950123,3200 BLK BLUE MOUNTAIN DR,San Jose Police,4/5/2021 7:27,4/5/2021,April,Monday, 7:27,AM,3250 BLUE MOUNTAIN DR,San Jose,CA,37.35022,-121.80724
ARSON,210950191,200 BLK N 24TH ST,San Jose Police,4/5/2021 8:52,4/5/2021,April,Monday, 8:52,AM,250 N 24TH ST,San Jose,CA,37.350224,-121.87088
VANDALISM,211040738,1600 BLK E SAN FERNANDO ST,San Jose Police,4/14/2021 18:20,4/14/2021,April,Wednesday,18:20,PM,1650 E SAN FERNANDO ST,San Jose,CA,37.35041,-121.85591
ASSAULT,211031050,1600 BLK E SAN FERNANDO ST,San Jose Police,4/13/2021 22:29,4/13/2021,April,Tuesday,22:29,PM,1650 E SAN FERNANDO ST,San Jose,CA,37.35041,-121.85591
FORGERY/FRAUD,210919505,3400 BLK MT ST HELENA DR,San Jose Police,4/1/2021 16:45,4/1/2021,April,Thursday,16:45,PM,3450 MT ST HELENA DR,San Jose,CA,37.350758,-121.8016
PETTY THEFT,211003222,1500 BLK ALUM ROCK AV,San Jose Police,4/10/2021 19:24,4/10/2021,April,Saturday,19:24,PM,1550 ALUM ROCK AV,San Jose,CA,37.350815,-121.8597
BURGLARY,210950232,1500 BLK ALUM ROCK AV,San Jose Police,4/5/2021 10:00,4/5/2021,April,Monday,10:00,AM,1550 ALUM ROCK AV,San Jose,CA,37.350815,-121.8597
ROBBERY,210920808,1500 BLK ALUM ROCK AV,San Jose Police,4/2/2021 18:31,4/2/2021,April,Friday,18:31,PM,1550 ALUM ROCK AV,San Jose,CA,37.350815,-121.8597
NARCOTICS,210921053,FIVE WOUNDS LN / N 30TH ST,San Jose Police,4/3/2021 3:02,4/3/2021,April,Saturday, 3:02,AM,FIVE WOUNDS LN &  N 30TH ST,San Jose,CA,37.350864,-121.86338
NARCOTICS,210860055,N 30TH ST / FIVE WOUNDS LN,San Jose Police,3/27/2021 1:00,3/27/2021,March,Saturday, 1:00,AM,N 30TH ST &  FIVE WOUNDS LN,San Jose,CA,37.350864,-121.86338
AUTO THEFT,210970276,S 33RD ST/ALUM ROCK AV,San Jose Police,4/7/2021 9:28,4/7/2021,April,Wednesday, 9:28,AM,S 33RD ST & ALUM ROCK AV,San Jose,CA,37.351135,-121.85904
NARCOTICS,210910260,KAMMERER AV / SINCLAIR DR,San Jose Police,4/1/2021 9:07,4/1/2021,April,Thursday, 9:07,AM,KAMMERER AV &  SINCLAIR DR,San Jose,CA,37.351215,-121.843666
VANDALISM,211010214,1600 BLK ALUM ROCK AV,San Jose Police,4/11/2021 4:28,4/11/2021,April,Sunday, 4:28,AM,1650 ALUM ROCK AV,San Jose,CA,37.351593,-121.858055
BURGLARY,211000159,1600 BLK ALUM ROCK AV,San Jose Police,4/10/2021 7:54,4/10/2021,April,Saturday, 7:54,AM,1650 ALUM ROCK AV,San Jose,CA,37.351593,-121.858055
BURGLARY,210990103,1600 BLK ALUM ROCK AV,San Jose Police,4/9/2021 5:05,4/9/2021,April,Friday, 5:05,AM,1650 ALUM ROCK AV,San Jose,CA,37.351593,-121.858055
NARCOTICS,210961043,1600 BLK ALUM ROCK AV,San Jose Police,4/6/2021 23:59,4/6/2021,April,Tuesday,23:59,PM,1650 ALUM ROCK AV,San Jose,CA,37.351593,-121.858055
VANDALISM,210963219,1600 BLK ALUM ROCK AV,San Jose Police,4/6/2021 18:23,4/6/2021,April,Tuesday,18:23,PM,1650 ALUM ROCK AV,San Jose,CA,37.351593,-121.858055
