Description,Incident #,Location,Agency,incident_datetime,incident_date,incident_month,incident_day_of_week,incident_time_24hr_clock,time_ampm,street_address,city,state,postalcode,lat,long
BURGLARY-FORCED-BUSINESS,GO 202154508,2100 BLK P ST,Bakersfield Police,3/22/2021 13:00,3/22/2021,March,Monday,13:00,PM,2150 P ST,Bakersfield,CA,93301,35.378582,-119.01174
ASSAULT-SIMPLE,GO 202165391,2100 BLK CHESTER AV,Bakersfield Police,4/7/2021 14:30,4/7/2021,April,Wednesday,14:30,PM,2150 CHESTER AV,Bakersfield,CA,93301,35.3786,-119.01878
WEAPON-POSSESS MISD,GO 202153781,2100 BLK CHESTER AV,Bakersfield Police,3/22/2021 8:17,3/22/2021,March,Monday, 8:17,AM,2150 CHESTER AV,Bakersfield,CA,93301,35.3786,-119.01878
DRUG-HEROIN-POSSESSION,GO 202168001,300 BLK BLK 22ND ST,Bakersfield Police,4/11/2021 9:56,4/11/2021,April,Sunday, 9:56,AM,350 BLK 22ND ST,Bakersfield,CA,93301,35.37905,-119.00526
DRUG-PARAPHERNALIA POSSESSION,GO 202168001,300 BLK BLK 22ND ST,Bakersfield Police,4/11/2021 9:56,4/11/2021,April,Sunday, 9:56,AM,350 BLK 22ND ST,Bakersfield,CA,93301,35.37905,-119.00526
DRUG-AMPHETAMINE-POSSESSION,GO 202159114,1300 BLK 22ND ST,Bakersfield Police,3/29/2021 18:32,3/29/2021,March,Monday,18:32,PM,1350 22ND ST,Bakersfield,CA,93301,35.37907,-119.01699
DRUG OFFENSE,GO 202159114,1300 BLK 22ND ST,Bakersfield Police,3/29/2021 18:32,3/29/2021,March,Monday,18:32,PM,1350 22ND ST,Bakersfield,CA,93301,35.37907,-119.01699
DRUG OFFENSE,GO 202159114,1300 BLK 22ND ST,Bakersfield Police,3/29/2021 18:32,3/29/2021,March,Monday,18:32,PM,1350 22ND ST,Bakersfield,CA,93301,35.37907,-119.01699
ASSAULT-SIMPLE,GO 202165316,2200 BLK 22ND ST,Bakersfield Police,4/7/2021 14:30,4/7/2021,April,Wednesday,14:30,PM,2250 22ND ST,Bakersfield,CA,93301,35.379135,-119.02759
THEFT-CATALYTIC CONVERTER,GO 202156745,2200 BLK Q ST,Bakersfield Police,3/25/2021 7:00,3/25/2021,March,Thursday, 7:00,AM,2250 Q ST,Bakersfield,CA,93301,35.379528,-119.01059
BURGLARY-FORCED-BUSINESS,GO 202164996,2200 BLK F ST,Bakersfield Police,3/31/2021 17:00,3/31/2021,March,Wednesday,17:00,PM,2250 F ST,Bakersfield,CA,93301,35.3796,-119.02349
AUTO THEFT,GO 202170708,2200 BLK FOUNDRY PL,Bakersfield Police,4/15/2021 0:00,4/15/2021,April,Thursday, 0:00,AM,2250 FOUNDRY PL,Bakersfield,CA,93301,35.37964,-119.0079
THEFT,GO 202159164,1800 BLK 23RD ST,Bakersfield Police,3/29/2021 19:44,3/29/2021,March,Monday,19:44,PM,1850 23RD ST,Bakersfield,CA,93301,35.38007,-119.02293
AGG ASSAULT-FAMILY ID WEAPON,GO 202156317,2300 BLK CHESTER AV,Bakersfield Police,3/25/2021 16:23,3/25/2021,March,Thursday,16:23,PM,2350 CHESTER AV,Bakersfield,CA,93301,35.380524,-119.01878
WEAPON-POSSESS MISD,GO 202155262,2300 BLK L ST,Bakersfield Police,3/24/2021 9:30,3/24/2021,March,Wednesday, 9:30,AM,2350 L ST,Bakersfield,CA,93301,35.38061,-119.01639
AUTO THEFT,GO 202170818,600 BLK 24TH ST,Bakersfield Police,4/15/2021 8:00,4/15/2021,April,Thursday, 8:00,AM,650 24TH ST,Bakersfield,CA,93301,35.38097,-119.00873
THEFT-CATALYTIC CONVERTER,GO 202155304,1700 BLK 24TH ST,Bakersfield Police,3/22/2021 23:00,3/22/2021,March,Monday,23:00,PM,1750 24TH ST,Bakersfield,CA,93301,35.381012,-119.02176
BURG-VEH (THEFT OF NON-PARTS),GO 202160007,2400 BLK CHESTER AV,Bakersfield Police,3/30/2021 21:45,3/30/2021,March,Tuesday,21:45,PM,2450 CHESTER AV,Bakersfield,CA,93301,35.381477,-119.018776
ROBBERY-STREET-STRONGARM,GO 202154634,2500 BLK M ST,Bakersfield Police,3/23/2021 11:42,3/23/2021,March,Tuesday,11:42,AM,2550 M ST,Bakersfield,CA,93301,35.382347,-119.01523
WEAPON-POSSESS MISD,GO 202169977,2500 BLK K ST,Bakersfield Police,4/13/2021 23:23,4/13/2021,April,Tuesday,23:23,PM,2550 K ST,Bakersfield,CA,93301,35.38242,-119.01755
AGG ASSAULT-WEAPON,GO 202169977,2500 BLK K ST,Bakersfield Police,4/13/2021 23:23,4/13/2021,April,Tuesday,23:23,PM,2550 K ST,Bakersfield,CA,93301,35.38242,-119.01755
ASSAULT-SIMPLE,GO 202165085,2500 BLK K ST,Bakersfield Police,4/7/2021 9:38,4/7/2021,April,Wednesday, 9:38,AM,2550 K ST,Bakersfield,CA,93301,35.38242,-119.01755
AGG ASSAULT-WEAPON,GO 202165085,2500 BLK K ST,Bakersfield Police,4/7/2021 9:38,4/7/2021,April,Wednesday, 9:38,AM,2550 K ST,Bakersfield,CA,93301,35.38242,-119.01755
AUTO THEFT,GO 202157517,2500 BLK UNION AV,Bakersfield Police,3/26/2021 0:00,3/26/2021,March,Friday, 0:00,AM,2550 UNION AV,Bakersfield,CA,93301,35.382862,-119.002815
THEFT-FROM PERSON/POCKET PICK,GO 202156761,2600 BLK H ST,Bakersfield Police,3/25/2021 16:30,3/25/2021,March,Thursday,16:30,PM,2650 H ST,Bakersfield,CA,93301,35.3834,-119.02114
AGG ASSAULT-FAMILY ID WEAPON,GO 202165099,2600 BLK L ST,Bakersfield Police,4/5/2021 12:00,4/5/2021,April,Monday,12:00,PM,2650 L ST,Bakersfield,CA,93301,35.383476,-119.01638
AUTO THEFT,GO 202163282,100 BLK W NILES ST,Bakersfield Police,4/4/2021 13:00,4/4/2021,April,Sunday,13:00,PM,150 W NILES ST,Bakersfield,CA,93301,35.38397,-118.99987
BURGLARY-FORCED-RESIDENCE,GO 202163435,700 BLK ESPEE ST,Bakersfield Police,3/28/2021 23:00,3/28/2021,March,Sunday,23:00,PM,750 ESPEE ST,Bakersfield,CA,93301,35.384296,-119.01033
THEFT-CATALYTIC CONVERTER,GO 202154827,2700 BLK M ST,Bakersfield Police,3/23/2021 8:05,3/23/2021,March,Tuesday, 8:05,AM,2750 M ST,Bakersfield,CA,93301,35.38431,-119.01521
ASSAULT-SIMPLE,GO 202160394,1800 BLK 28TH ST,Bakersfield Police,3/31/2021 13:47,3/31/2021,March,Wednesday,13:47,PM,1850 28TH ST,Bakersfield,CA,93301,35.38483,-119.02281
