Description,Incident #,Location,Agency,incident_datetime,incident_date,incident_month,incident_day_of_week,incident_time_24hr_clock,time_ampm,street_address,city,state,postalcode,lat,long
THEFT-CATALYTIC CONVERTER,GO 202166172,1400 BLK S ST,Bakersfield Police,4/8/2021 7:30,4/8/2021,April,Thursday, 7:30,AM,1450 S ST,Bakersfield,CA,93301,35.3708116,-119.0105303
THEFT,GO 202163725,100 BLK E CALIFORNIA AV,Bakersfield Police,4/5/2021 9:45,4/5/2021,April,Monday, 9:45,AM,150 E CALIFORNIA AV,Bakersfield,CA,93301,35.3685035,-119.0048549
ASSAULT-SIMPLE,GO 202163695,100 BLK E CALIFORNIA AV,Bakersfield Police,4/5/2021 8:47,4/5/2021,April,Monday, 8:47,AM,150 E CALIFORNIA AV,Bakersfield,CA,93301,35.3685035,-119.0048549
THEFT-CATALYTIC CONVERTER,GO 202160055,1700 BLK O ST,Bakersfield Police,3/31/2021 1:30,3/31/2021,March,Wednesday, 1:30,AM,1750 O ST,Bakersfield,CA,93301,35.3748025,-119.0151408
AGG ASSAULT-NONFAMILY STGARM,GO 202163026,1800 BLK N ST,Bakersfield Police,4/4/2021 2:04,4/4/2021,April,Sunday, 2:04,AM,1850 N ST,Bakersfield,CA,93301,35.3757307,-119.0163116
TRAFFIC-DUI DRUGS MISDEMEANOR,GO 202158646,1800 BLK ST / L ST,Bakersfield Police,3/29/2021 1:29,3/29/2021,March,Monday, 1:29,AM,1850 ST & L ST,Bakersfield,CA,93301,35.375741,-119.0186204
DRUG-SYNTHETIC-UTI,GO 202161126,1800 BLK UNION AV,Bakersfield Police,4/1/2021 14:00,4/1/2021,April,Thursday,14:00,PM,1850 UNION AV,Bakersfield,CA,93301,35.3759865,-119.0047291
AUTO THEFT,GO 202160103,1900 BLK UNION AV,Bakersfield Police,3/31/2021 5:38,3/31/2021,March,Wednesday, 5:38,AM,1950 UNION AV,Bakersfield,CA,93301,35.3767708,-119.0038953
SEX-PROSTITUTION,GO 202159490,2100 BLK 24TH ST,Bakersfield Police,3/30/2021 9:39,3/30/2021,March,Tuesday, 9:39,AM,2150 24TH ST,Bakersfield,CA,93301,35.3812671,-119.0290589
THEFT-CATALYTIC CONVERTER,GO 202154927,2100 BLK 24TH ST,Bakersfield Police,3/23/2021 14:00,3/23/2021,March,Tuesday,14:00,PM,2150 24TH ST,Bakersfield,CA,93301,35.3812671,-119.0290589
DRUG-AMPHETAMINE-POSSESSION,GO 202169842,2300 BLK ST / CHESTER AV,Bakersfield Police,4/13/2021 19:06,4/13/2021,April,Tuesday,19:06,PM,2350 ST & CHESTER AV,Bakersfield,CA,93301,35.3808882,-119.0206992
TRAFFIC-DUI ALCOHOL MISDEMEANR,GO 202166444,2300 BLK ST / H ST,Bakersfield Police,4/9/2021 2:46,4/9/2021,April,Friday, 2:46,AM,2350 ST & H ST,Bakersfield,CA,93301,35.3808544,-119.0229958
DRUG OFFENSE,GO 202157685,2300 BLK ST / M ST,Bakersfield Police,3/27/2021 17:21,3/27/2021,March,Saturday,17:21,PM,2350 ST & M ST,Bakersfield,CA,93301,35.3806212,-119.0174471
WEAPON-POSSESS WEAPON FELONY,GO 202164621,2900 BLK UNION AV,Bakersfield Police,4/6/2021 14:27,4/6/2021,April,Tuesday,14:27,PM,2950 UNION AV,Bakersfield,CA,93301,35.3865295,-119.004707
BURGLARY-FORCED-BUSINESS,GO 202154334,300 BLK CALIFORNIA AV,Bakersfield Police,3/22/2021 22:01,3/22/2021,March,Monday,22:01,PM,350 CALIFORNIA AV,Bakersfield,CA,93301,35.3691283,-119.0078595
DRUG-PARAPHERNALIA POSSESSION,GO 202164999,500 BLK DOLORES ST,Bakersfield Police,4/7/2021 7:49,4/7/2021,April,Wednesday, 7:49,AM,550 DOLORES ST,Bakersfield,CA,93301,35.3723752,-118.9989025
DRUG-PARAPHERNALIA POSSESSION,GO 202161228,CALIFORNIA AV / L ST,Bakersfield Police,4/1/2021 16:19,4/1/2021,April,Thursday,16:19,PM,CALIFORNIA AV & L ST,Bakersfield,CA,93301,35.3685528,-119.0186645
AUTO THEFT-RECEIVE STOLEN VEH,GO 202161228,CALIFORNIA AV / L ST,Bakersfield Police,4/1/2021 16:19,4/1/2021,April,Thursday,16:19,PM,CALIFORNIA AV & L ST,Bakersfield,CA,93301,35.3685528,-119.0186645
DRUG OFFENSE,GO 202161228,CALIFORNIA AV / L ST,Bakersfield Police,4/1/2021 16:19,4/1/2021,April,Thursday,16:19,PM,CALIFORNIA AV & L ST,Bakersfield,CA,93301,35.3685528,-119.0186645
TRAFFIC-DUI ALCOHOL MISDEMEANR,GO 202164889,CALIFORNIA AV / N ST,Bakersfield Police,4/6/2021 22:39,4/6/2021,April,Tuesday,22:39,PM,CALIFORNIA AV & N ST,Bakersfield,CA,93301,35.3685472,-119.016346
DRUG-AMPHETAMINE-POSSESSION,GO 202166702,E ST / 21ST ST,Bakersfield Police,4/9/2021 12:40,4/9/2021,April,Friday,12:40,PM,E ST & 21ST ST,Bakersfield,CA,93301,35.3781613,-119.0268751
DRUG-PARAPHERNALIA POSSESSION,GO 202166702,E ST / 21ST ST,Bakersfield Police,4/9/2021 12:40,4/9/2021,April,Friday,12:40,PM,E ST & 21ST ST,Bakersfield,CA,93301,35.3781613,-119.0268751
